"","fields","FieldID","visit","num","description"
"38","X55.2.0","X55","2","0","Month of attending assessment centre"
"39","X62.0.0","X62","0","0","Willing to attempt cognitive tests"
"40","X62.1.0","X62","1","0","Willing to attempt cognitive tests"
"41","X62.2.0","X62","2","0","Willing to attempt cognitive tests"
"42","X68.0.0","X68","0","0","Number of blood samples taken"
"43","X68.1.0","X68","1","0","Number of blood samples taken"
"44","X68.2.0","X68","2","0","Number of blood samples taken"
"45","X74.0.0","X74","0","0","Fasting time"
"46","X74.1.0","X74","1","0","Fasting time"
"47","X74.2.0","X74","2","0","Fasting time"
"48","X77.0.0","X77","0","0","Heel bone ultrasound T-score, manual entry"
"49","X78.0.0","X78","0","0","Heel bone mineral density (BMD) T-score, automated"
"50","X84.0.0","X84","0","0","Cancer year/age first occurred"
"51","X84.0.1","X84","0","1","Cancer year/age first occurred"
"52","X84.0.2","X84","0","2","Cancer year/age first occurred"
"53","X84.0.3","X84","0","3","Cancer year/age first occurred"
"54","X84.0.4","X84","0","4","Cancer year/age first occurred"
"55","X84.0.5","X84","0","5","Cancer year/age first occurred"
"56","X84.1.0","X84","1","0","Cancer year/age first occurred"
"57","X84.1.1","X84","1","1","Cancer year/age first occurred"
"58","X84.1.2","X84","1","2","Cancer year/age first occurred"
"59","X84.1.3","X84","1","3","Cancer year/age first occurred"
"60","X84.1.4","X84","1","4","Cancer year/age first occurred"
"61","X84.1.5","X84","1","5","Cancer year/age first occurred"
"62","X84.2.0","X84","2","0","Cancer year/age first occurred"
"63","X84.2.1","X84","2","1","Cancer year/age first occurred"
"64","X84.2.2","X84","2","2","Cancer year/age first occurred"
"65","X84.2.3","X84","2","3","Cancer year/age first occurred"
"66","X84.2.4","X84","2","4","Cancer year/age first occurred"
"67","X84.2.5","X84","2","5","Cancer year/age first occurred"
"68","X87.0.0","X87","0","0","Non-cancer illness year/age first occurred"
"69","X87.0.1","X87","0","1","Non-cancer illness year/age first occurred"
"70","X87.0.2","X87","0","2","Non-cancer illness year/age first occurred"
"71","X87.0.3","X87","0","3","Non-cancer illness year/age first occurred"
"72","X87.0.4","X87","0","4","Non-cancer illness year/age first occurred"
"73","X87.0.5","X87","0","5","Non-cancer illness year/age first occurred"
"74","X87.0.6","X87","0","6","Non-cancer illness year/age first occurred"
"75","X87.0.7","X87","0","7","Non-cancer illness year/age first occurred"
"76","X87.0.8","X87","0","8","Non-cancer illness year/age first occurred"
"77","X87.0.9","X87","0","9","Non-cancer illness year/age first occurred"
"78","X87.0.10","X87","0","10","Non-cancer illness year/age first occurred"
"79","X87.0.11","X87","0","11","Non-cancer illness year/age first occurred"
"80","X87.0.12","X87","0","12","Non-cancer illness year/age first occurred"
"81","X87.0.13","X87","0","13","Non-cancer illness year/age first occurred"
"82","X87.0.14","X87","0","14","Non-cancer illness year/age first occurred"
"83","X87.0.15","X87","0","15","Non-cancer illness year/age first occurred"
"84","X87.0.16","X87","0","16","Non-cancer illness year/age first occurred"
"85","X87.0.17","X87","0","17","Non-cancer illness year/age first occurred"
"86","X87.0.18","X87","0","18","Non-cancer illness year/age first occurred"
"87","X87.0.19","X87","0","19","Non-cancer illness year/age first occurred"
"88","X87.0.20","X87","0","20","Non-cancer illness year/age first occurred"
"89","X87.0.21","X87","0","21","Non-cancer illness year/age first occurred"
"90","X87.0.22","X87","0","22","Non-cancer illness year/age first occurred"
"91","X87.0.23","X87","0","23","Non-cancer illness year/age first occurred"
"92","X87.0.24","X87","0","24","Non-cancer illness year/age first occurred"
"93","X87.0.25","X87","0","25","Non-cancer illness year/age first occurred"
"94","X87.0.26","X87","0","26","Non-cancer illness year/age first occurred"
"95","X87.0.27","X87","0","27","Non-cancer illness year/age first occurred"
"96","X87.0.28","X87","0","28","Non-cancer illness year/age first occurred"
"97","X87.0.29","X87","0","29","Non-cancer illness year/age first occurred"
"98","X87.0.30","X87","0","30","Non-cancer illness year/age first occurred"
"99","X87.0.31","X87","0","31","Non-cancer illness year/age first occurred"
"100","X87.0.32","X87","0","32","Non-cancer illness year/age first occurred"
"101","X87.0.33","X87","0","33","Non-cancer illness year/age first occurred"
"102","X87.1.0","X87","1","0","Non-cancer illness year/age first occurred"
"103","X87.1.1","X87","1","1","Non-cancer illness year/age first occurred"
"104","X87.1.2","X87","1","2","Non-cancer illness year/age first occurred"
"105","X87.1.3","X87","1","3","Non-cancer illness year/age first occurred"
"106","X87.1.4","X87","1","4","Non-cancer illness year/age first occurred"
"107","X87.1.5","X87","1","5","Non-cancer illness year/age first occurred"
"108","X87.1.6","X87","1","6","Non-cancer illness year/age first occurred"
"109","X87.1.7","X87","1","7","Non-cancer illness year/age first occurred"
"110","X87.1.8","X87","1","8","Non-cancer illness year/age first occurred"
"111","X87.1.9","X87","1","9","Non-cancer illness year/age first occurred"
"112","X87.1.10","X87","1","10","Non-cancer illness year/age first occurred"
"113","X87.1.11","X87","1","11","Non-cancer illness year/age first occurred"
"114","X87.1.12","X87","1","12","Non-cancer illness year/age first occurred"
"115","X87.1.13","X87","1","13","Non-cancer illness year/age first occurred"
"116","X87.1.14","X87","1","14","Non-cancer illness year/age first occurred"
"117","X87.1.15","X87","1","15","Non-cancer illness year/age first occurred"
"118","X87.1.16","X87","1","16","Non-cancer illness year/age first occurred"
"119","X87.1.17","X87","1","17","Non-cancer illness year/age first occurred"
"120","X87.1.18","X87","1","18","Non-cancer illness year/age first occurred"
"121","X87.1.19","X87","1","19","Non-cancer illness year/age first occurred"
"122","X87.1.20","X87","1","20","Non-cancer illness year/age first occurred"
"123","X87.1.21","X87","1","21","Non-cancer illness year/age first occurred"
"124","X87.1.22","X87","1","22","Non-cancer illness year/age first occurred"
"125","X87.1.23","X87","1","23","Non-cancer illness year/age first occurred"
"126","X87.1.24","X87","1","24","Non-cancer illness year/age first occurred"
"127","X87.1.25","X87","1","25","Non-cancer illness year/age first occurred"
"128","X87.1.26","X87","1","26","Non-cancer illness year/age first occurred"
"129","X87.1.27","X87","1","27","Non-cancer illness year/age first occurred"
"130","X87.1.28","X87","1","28","Non-cancer illness year/age first occurred"
"131","X87.1.29","X87","1","29","Non-cancer illness year/age first occurred"
"132","X87.1.30","X87","1","30","Non-cancer illness year/age first occurred"
"133","X87.1.31","X87","1","31","Non-cancer illness year/age first occurred"
"134","X87.1.32","X87","1","32","Non-cancer illness year/age first occurred"
"135","X87.1.33","X87","1","33","Non-cancer illness year/age first occurred"
"136","X87.2.0","X87","2","0","Non-cancer illness year/age first occurred"
"137","X87.2.1","X87","2","1","Non-cancer illness year/age first occurred"
"138","X87.2.2","X87","2","2","Non-cancer illness year/age first occurred"
"139","X87.2.3","X87","2","3","Non-cancer illness year/age first occurred"
"140","X87.2.4","X87","2","4","Non-cancer illness year/age first occurred"
"141","X87.2.5","X87","2","5","Non-cancer illness year/age first occurred"
"142","X87.2.6","X87","2","6","Non-cancer illness year/age first occurred"
"143","X87.2.7","X87","2","7","Non-cancer illness year/age first occurred"
"144","X87.2.8","X87","2","8","Non-cancer illness year/age first occurred"
"145","X87.2.9","X87","2","9","Non-cancer illness year/age first occurred"
"146","X87.2.10","X87","2","10","Non-cancer illness year/age first occurred"
"147","X87.2.11","X87","2","11","Non-cancer illness year/age first occurred"
"148","X87.2.12","X87","2","12","Non-cancer illness year/age first occurred"
"149","X87.2.13","X87","2","13","Non-cancer illness year/age first occurred"
"150","X87.2.14","X87","2","14","Non-cancer illness year/age first occurred"
"151","X87.2.15","X87","2","15","Non-cancer illness year/age first occurred"
"152","X87.2.16","X87","2","16","Non-cancer illness year/age first occurred"
"153","X87.2.17","X87","2","17","Non-cancer illness year/age first occurred"
"154","X87.2.18","X87","2","18","Non-cancer illness year/age first occurred"
"155","X87.2.19","X87","2","19","Non-cancer illness year/age first occurred"
"156","X87.2.20","X87","2","20","Non-cancer illness year/age first occurred"
"157","X87.2.21","X87","2","21","Non-cancer illness year/age first occurred"
"158","X87.2.22","X87","2","22","Non-cancer illness year/age first occurred"
"159","X87.2.23","X87","2","23","Non-cancer illness year/age first occurred"
"160","X87.2.24","X87","2","24","Non-cancer illness year/age first occurred"
"161","X87.2.25","X87","2","25","Non-cancer illness year/age first occurred"
"162","X87.2.26","X87","2","26","Non-cancer illness year/age first occurred"
"163","X87.2.27","X87","2","27","Non-cancer illness year/age first occurred"
"164","X87.2.28","X87","2","28","Non-cancer illness year/age first occurred"
"165","X87.2.29","X87","2","29","Non-cancer illness year/age first occurred"
"166","X87.2.30","X87","2","30","Non-cancer illness year/age first occurred"
"167","X87.2.31","X87","2","31","Non-cancer illness year/age first occurred"
"168","X87.2.32","X87","2","32","Non-cancer illness year/age first occurred"
"169","X87.2.33","X87","2","33","Non-cancer illness year/age first occurred"
"170","X92.0.0","X92","0","0","Operation year/age first occurred"
"171","X92.0.1","X92","0","1","Operation year/age first occurred"
"172","X92.0.2","X92","0","2","Operation year/age first occurred"
"173","X92.0.3","X92","0","3","Operation year/age first occurred"
"174","X92.0.4","X92","0","4","Operation year/age first occurred"
"175","X92.0.5","X92","0","5","Operation year/age first occurred"
"176","X92.0.6","X92","0","6","Operation year/age first occurred"
"177","X92.0.7","X92","0","7","Operation year/age first occurred"
"178","X92.0.8","X92","0","8","Operation year/age first occurred"
"179","X92.0.9","X92","0","9","Operation year/age first occurred"
"180","X92.0.10","X92","0","10","Operation year/age first occurred"
"181","X92.0.11","X92","0","11","Operation year/age first occurred"
"182","X92.0.12","X92","0","12","Operation year/age first occurred"
"183","X92.0.13","X92","0","13","Operation year/age first occurred"
"184","X92.0.14","X92","0","14","Operation year/age first occurred"
"185","X92.0.15","X92","0","15","Operation year/age first occurred"
"186","X92.0.16","X92","0","16","Operation year/age first occurred"
"187","X92.0.17","X92","0","17","Operation year/age first occurred"
"188","X92.0.18","X92","0","18","Operation year/age first occurred"
"189","X92.0.19","X92","0","19","Operation year/age first occurred"
"190","X92.0.20","X92","0","20","Operation year/age first occurred"
"191","X92.0.21","X92","0","21","Operation year/age first occurred"
"192","X92.0.22","X92","0","22","Operation year/age first occurred"
"193","X92.0.23","X92","0","23","Operation year/age first occurred"
"194","X92.0.24","X92","0","24","Operation year/age first occurred"
"195","X92.0.25","X92","0","25","Operation year/age first occurred"
"196","X92.0.26","X92","0","26","Operation year/age first occurred"
"197","X92.0.27","X92","0","27","Operation year/age first occurred"
"198","X92.0.28","X92","0","28","Operation year/age first occurred"
"199","X92.0.29","X92","0","29","Operation year/age first occurred"
"200","X92.0.30","X92","0","30","Operation year/age first occurred"
"201","X92.0.31","X92","0","31","Operation year/age first occurred"
"202","X92.1.0","X92","1","0","Operation year/age first occurred"
"203","X92.1.1","X92","1","1","Operation year/age first occurred"
"204","X92.1.2","X92","1","2","Operation year/age first occurred"
"205","X92.1.3","X92","1","3","Operation year/age first occurred"
"206","X92.1.4","X92","1","4","Operation year/age first occurred"
"207","X92.1.5","X92","1","5","Operation year/age first occurred"
"208","X92.1.6","X92","1","6","Operation year/age first occurred"
"209","X92.1.7","X92","1","7","Operation year/age first occurred"
"210","X92.1.8","X92","1","8","Operation year/age first occurred"
"211","X92.1.9","X92","1","9","Operation year/age first occurred"
"212","X92.1.10","X92","1","10","Operation year/age first occurred"
"213","X92.1.11","X92","1","11","Operation year/age first occurred"
"214","X92.1.12","X92","1","12","Operation year/age first occurred"
"215","X92.1.13","X92","1","13","Operation year/age first occurred"
"216","X92.1.14","X92","1","14","Operation year/age first occurred"
"217","X92.1.15","X92","1","15","Operation year/age first occurred"
"218","X92.1.16","X92","1","16","Operation year/age first occurred"
"219","X92.1.17","X92","1","17","Operation year/age first occurred"
"220","X92.1.18","X92","1","18","Operation year/age first occurred"
"221","X92.1.19","X92","1","19","Operation year/age first occurred"
"222","X92.1.20","X92","1","20","Operation year/age first occurred"
"223","X92.1.21","X92","1","21","Operation year/age first occurred"
"224","X92.1.22","X92","1","22","Operation year/age first occurred"
"225","X92.1.23","X92","1","23","Operation year/age first occurred"
"226","X92.1.24","X92","1","24","Operation year/age first occurred"
"227","X92.1.25","X92","1","25","Operation year/age first occurred"
"228","X92.1.26","X92","1","26","Operation year/age first occurred"
"229","X92.1.27","X92","1","27","Operation year/age first occurred"
"230","X92.1.28","X92","1","28","Operation year/age first occurred"
"231","X92.1.29","X92","1","29","Operation year/age first occurred"
"232","X92.1.30","X92","1","30","Operation year/age first occurred"
"233","X92.1.31","X92","1","31","Operation year/age first occurred"
"234","X92.2.0","X92","2","0","Operation year/age first occurred"
"235","X92.2.1","X92","2","1","Operation year/age first occurred"
"236","X92.2.2","X92","2","2","Operation year/age first occurred"
"237","X92.2.3","X92","2","3","Operation year/age first occurred"
"238","X92.2.4","X92","2","4","Operation year/age first occurred"
"239","X92.2.5","X92","2","5","Operation year/age first occurred"
"240","X92.2.6","X92","2","6","Operation year/age first occurred"
"241","X92.2.7","X92","2","7","Operation year/age first occurred"
"242","X92.2.8","X92","2","8","Operation year/age first occurred"
"243","X92.2.9","X92","2","9","Operation year/age first occurred"
"244","X92.2.10","X92","2","10","Operation year/age first occurred"
"245","X92.2.11","X92","2","11","Operation year/age first occurred"
"246","X92.2.12","X92","2","12","Operation year/age first occurred"
"247","X92.2.13","X92","2","13","Operation year/age first occurred"
"248","X92.2.14","X92","2","14","Operation year/age first occurred"
"249","X92.2.15","X92","2","15","Operation year/age first occurred"
"250","X92.2.16","X92","2","16","Operation year/age first occurred"
"251","X92.2.17","X92","2","17","Operation year/age first occurred"
"252","X92.2.18","X92","2","18","Operation year/age first occurred"
"253","X92.2.19","X92","2","19","Operation year/age first occurred"
"254","X92.2.20","X92","2","20","Operation year/age first occurred"
"255","X92.2.21","X92","2","21","Operation year/age first occurred"
"256","X92.2.22","X92","2","22","Operation year/age first occurred"
"257","X92.2.23","X92","2","23","Operation year/age first occurred"
"258","X92.2.24","X92","2","24","Operation year/age first occurred"
"259","X92.2.25","X92","2","25","Operation year/age first occurred"
"260","X92.2.26","X92","2","26","Operation year/age first occurred"
"261","X92.2.27","X92","2","27","Operation year/age first occurred"
"262","X92.2.28","X92","2","28","Operation year/age first occurred"
"263","X92.2.29","X92","2","29","Operation year/age first occurred"
"264","X92.2.30","X92","2","30","Operation year/age first occurred"
"265","X92.2.31","X92","2","31","Operation year/age first occurred"
"266","X93.0.0","X93","0","0","Systolic blood pressure, manual reading"
"267","X93.0.1","X93","0","1","Systolic blood pressure, manual reading"
"268","X93.1.0","X93","1","0","Systolic blood pressure, manual reading"
"269","X93.1.1","X93","1","1","Systolic blood pressure, manual reading"
"270","X93.2.0","X93","2","0","Systolic blood pressure, manual reading"
"271","X93.2.1","X93","2","1","Systolic blood pressure, manual reading"
"272","X94.0.0","X94","0","0","Diastolic blood pressure, manual reading"
"273","X94.0.1","X94","0","1","Diastolic blood pressure, manual reading"
"274","X94.1.0","X94","1","0","Diastolic blood pressure, manual reading"
"275","X94.1.1","X94","1","1","Diastolic blood pressure, manual reading"
"276","X94.2.0","X94","2","0","Diastolic blood pressure, manual reading"
"277","X94.2.1","X94","2","1","Diastolic blood pressure, manual reading"
"278","X95.0.0","X95","0","0","Pulse rate (during blood-pressure measurement)"
"279","X95.0.1","X95","0","1","Pulse rate (during blood-pressure measurement)"
"280","X95.1.0","X95","1","0","Pulse rate (during blood-pressure measurement)"
"281","X95.1.1","X95","1","1","Pulse rate (during blood-pressure measurement)"
"282","X95.2.0","X95","2","0","Pulse rate (during blood-pressure measurement)"
"283","X95.2.1","X95","2","1","Pulse rate (during blood-pressure measurement)"
"284","X102.0.0","X102","0","0","Pulse rate, automated reading"
"285","X102.0.1","X102","0","1","Pulse rate, automated reading"
"286","X102.1.0","X102","1","0","Pulse rate, automated reading"
"287","X102.1.1","X102","1","1","Pulse rate, automated reading"
"288","X102.2.0","X102","2","0","Pulse rate, automated reading"
"289","X102.2.1","X102","2","1","Pulse rate, automated reading"
"290","X111.0.0","X111","0","0","Aide-memoire completed"
"291","X111.1.0","X111","1","0","Aide-memoire completed"
"292","X120.0.0","X120","0","0","Birth weight known"
"293","X120.1.0","X120","1","0","Birth weight known"
"294","X120.2.0","X120","2","0","Birth weight known"
"295","X129.0.0","X129","0","0","Place of birth in UK - north co-ordinate"
"296","X129.1.0","X129","1","0","Place of birth in UK - north co-ordinate"
"297","X129.2.0","X129","2","0","Place of birth in UK - north co-ordinate"
"298","X130.0.0","X130","0","0","Place of birth in UK - east co-ordinate"
"299","X130.1.0","X130","1","0","Place of birth in UK - east co-ordinate"
"300","X130.2.0","X130","2","0","Place of birth in UK - east co-ordinate"
"301","X132.0.0","X132","0","0","Job code at visit - entered"
"302","X132.1.0","X132","1","0","Job code at visit - entered"
"303","X132.2.0","X132","2","0","Job code at visit - entered"
"304","X134.0.0","X134","0","0","Number of self-reported cancers"
"305","X134.1.0","X134","1","0","Number of self-reported cancers"
"306","X134.2.0","X134","2","0","Number of self-reported cancers"
"307","X135.0.0","X135","0","0","Number of self-reported non-cancer illnesses"
"308","X135.1.0","X135","1","0","Number of self-reported non-cancer illnesses"
"309","X135.2.0","X135","2","0","Number of self-reported non-cancer illnesses"
"310","X136.0.0","X136","0","0","Number of operations, self-reported"
"311","X136.1.0","X136","1","0","Number of operations, self-reported"
"312","X136.2.0","X136","2","0","Number of operations, self-reported"
"313","X137.0.0","X137","0","0","Number of treatments/medications taken"
"314","X137.1.0","X137","1","0","Number of treatments/medications taken"
"315","X137.2.0","X137","2","0","Number of treatments/medications taken"
"316","X189.0.0","X189","0","0","Townsend deprivation index at recruitment"
"317","X200.0.0","X200","0","0","Date of consenting to join UK Biobank"
"318","X398.0.1","X398","0","1","Number of correct matches in round"
"319","X398.0.2","X398","0","2","Number of correct matches in round"
"320","X398.0.3","X398","0","3","Number of correct matches in round"
"321","X398.1.1","X398","1","1","Number of correct matches in round"
"322","X398.1.2","X398","1","2","Number of correct matches in round"
"323","X398.1.3","X398","1","3","Number of correct matches in round"
"324","X398.2.1","X398","2","1","Number of correct matches in round"
"325","X398.2.2","X398","2","2","Number of correct matches in round"
"326","X398.2.3","X398","2","3","Number of correct matches in round"
"327","X399.0.1","X399","0","1","Number of incorrect matches in round"
"328","X399.0.2","X399","0","2","Number of incorrect matches in round"
"329","X399.0.3","X399","0","3","Number of incorrect matches in round"
"330","X399.1.1","X399","1","1","Number of incorrect matches in round"
"331","X399.1.2","X399","1","2","Number of incorrect matches in round"
"332","X399.1.3","X399","1","3","Number of incorrect matches in round"
"333","X399.2.1","X399","2","1","Number of incorrect matches in round"
"334","X399.2.2","X399","2","2","Number of incorrect matches in round"
"335","X399.2.3","X399","2","3","Number of incorrect matches in round"
"336","X400.0.1","X400","0","1","Time to complete round"
"337","X400.0.2","X400","0","2","Time to complete round"
"338","X400.0.3","X400","0","3","Time to complete round"
"339","X400.1.1","X400","1","1","Time to complete round"
"340","X400.1.2","X400","1","2","Time to complete round"
"341","X400.1.3","X400","1","3","Time to complete round"
"342","X400.2.1","X400","2","1","Time to complete round"
"343","X400.2.2","X400","2","2","Time to complete round"
"344","X400.2.3","X400","2","3","Time to complete round"
"345","X403.0.0","X403","0","0","Number of times snap-button pressed"
"346","X403.0.1","X403","0","1","Number of times snap-button pressed"
"347","X403.0.2","X403","0","2","Number of times snap-button pressed"
"348","X403.0.3","X403","0","3","Number of times snap-button pressed"
"349","X403.0.4","X403","0","4","Number of times snap-button pressed"
"350","X403.0.5","X403","0","5","Number of times snap-button pressed"
"351","X403.0.6","X403","0","6","Number of times snap-button pressed"
"352","X403.0.7","X403","0","7","Number of times snap-button pressed"
"353","X403.0.8","X403","0","8","Number of times snap-button pressed"
"354","X403.0.9","X403","0","9","Number of times snap-button pressed"
"355","X403.0.10","X403","0","10","Number of times snap-button pressed"
"356","X403.0.11","X403","0","11","Number of times snap-button pressed"
"357","X403.1.0","X403","1","0","Number of times snap-button pressed"
"358","X403.1.1","X403","1","1","Number of times snap-button pressed"
"359","X403.1.2","X403","1","2","Number of times snap-button pressed"
"360","X403.1.3","X403","1","3","Number of times snap-button pressed"
"361","X403.1.4","X403","1","4","Number of times snap-button pressed"
"362","X403.1.5","X403","1","5","Number of times snap-button pressed"
"363","X403.1.6","X403","1","6","Number of times snap-button pressed"
"364","X403.1.7","X403","1","7","Number of times snap-button pressed"
"365","X403.1.8","X403","1","8","Number of times snap-button pressed"
"366","X403.1.9","X403","1","9","Number of times snap-button pressed"
"367","X403.1.10","X403","1","10","Number of times snap-button pressed"
"368","X403.1.11","X403","1","11","Number of times snap-button pressed"
"369","X403.2.0","X403","2","0","Number of times snap-button pressed"
"370","X403.2.1","X403","2","1","Number of times snap-button pressed"
"371","X403.2.2","X403","2","2","Number of times snap-button pressed"
"372","X403.2.3","X403","2","3","Number of times snap-button pressed"
"373","X403.2.4","X403","2","4","Number of times snap-button pressed"
"374","X403.2.5","X403","2","5","Number of times snap-button pressed"
"375","X403.2.6","X403","2","6","Number of times snap-button pressed"
"376","X403.2.7","X403","2","7","Number of times snap-button pressed"
"377","X403.2.8","X403","2","8","Number of times snap-button pressed"
"378","X403.2.9","X403","2","9","Number of times snap-button pressed"
"379","X403.2.10","X403","2","10","Number of times snap-button pressed"
"380","X403.2.11","X403","2","11","Number of times snap-button pressed"
"381","X404.0.0","X404","0","0","Duration to first press of snap-button in each round"
"382","X404.0.1","X404","0","1","Duration to first press of snap-button in each round"
"383","X404.0.2","X404","0","2","Duration to first press of snap-button in each round"
"384","X404.0.3","X404","0","3","Duration to first press of snap-button in each round"
"385","X404.0.4","X404","0","4","Duration to first press of snap-button in each round"
"386","X404.0.5","X404","0","5","Duration to first press of snap-button in each round"
"387","X404.0.6","X404","0","6","Duration to first press of snap-button in each round"
"388","X404.0.7","X404","0","7","Duration to first press of snap-button in each round"
"389","X404.0.8","X404","0","8","Duration to first press of snap-button in each round"
"390","X404.0.9","X404","0","9","Duration to first press of snap-button in each round"
"391","X404.0.10","X404","0","10","Duration to first press of snap-button in each round"
"392","X404.0.11","X404","0","11","Duration to first press of snap-button in each round"
"393","X404.1.0","X404","1","0","Duration to first press of snap-button in each round"
"394","X404.1.1","X404","1","1","Duration to first press of snap-button in each round"
"395","X404.1.2","X404","1","2","Duration to first press of snap-button in each round"
"396","X404.1.3","X404","1","3","Duration to first press of snap-button in each round"
"397","X404.1.4","X404","1","4","Duration to first press of snap-button in each round"
"398","X404.1.5","X404","1","5","Duration to first press of snap-button in each round"
"399","X404.1.6","X404","1","6","Duration to first press of snap-button in each round"
"400","X404.1.7","X404","1","7","Duration to first press of snap-button in each round"
"401","X404.1.8","X404","1","8","Duration to first press of snap-button in each round"
"402","X404.1.9","X404","1","9","Duration to first press of snap-button in each round"
"403","X404.1.10","X404","1","10","Duration to first press of snap-button in each round"
"404","X404.1.11","X404","1","11","Duration to first press of snap-button in each round"
"405","X404.2.0","X404","2","0","Duration to first press of snap-button in each round"
"406","X404.2.1","X404","2","1","Duration to first press of snap-button in each round"
"407","X404.2.2","X404","2","2","Duration to first press of snap-button in each round"
"408","X404.2.3","X404","2","3","Duration to first press of snap-button in each round"
"409","X404.2.4","X404","2","4","Duration to first press of snap-button in each round"
"410","X404.2.5","X404","2","5","Duration to first press of snap-button in each round"
"411","X404.2.6","X404","2","6","Duration to first press of snap-button in each round"
"412","X404.2.7","X404","2","7","Duration to first press of snap-button in each round"
"413","X404.2.8","X404","2","8","Duration to first press of snap-button in each round"
"414","X404.2.9","X404","2","9","Duration to first press of snap-button in each round"
"415","X404.2.10","X404","2","10","Duration to first press of snap-button in each round"
"416","X404.2.11","X404","2","11","Duration to first press of snap-button in each round"
"417","X670.0.0","X670","0","0","Type of accommodation lived in"
"418","X670.1.0","X670","1","0","Type of accommodation lived in"
"419","X670.2.0","X670","2","0","Type of accommodation lived in"
"420","X680.0.0","X680","0","0","Own or rent accommodation lived in"
"421","X680.1.0","X680","1","0","Own or rent accommodation lived in"
"422","X680.2.0","X680","2","0","Own or rent accommodation lived in"
"423","X699.0.0","X699","0","0","Length of time at current address"
"424","X699.1.0","X699","1","0","Length of time at current address"
"425","X699.2.0","X699","2","0","Length of time at current address"
"426","X709.0.0","X709","0","0","Number in household"
"427","X709.1.0","X709","1","0","Number in household"
"428","X709.2.0","X709","2","0","Number in household"
"429","X728.0.0","X728","0","0","Number of vehicles in household"
"430","X728.1.0","X728","1","0","Number of vehicles in household"
"431","X728.2.0","X728","2","0","Number of vehicles in household"
"432","X738.0.0","X738","0","0","Average total household income before tax"
"433","X738.1.0","X738","1","0","Average total household income before tax"
"434","X738.2.0","X738","2","0","Average total household income before tax"
"435","X757.0.0","X757","0","0","Time employed in main current job"
"436","X757.1.0","X757","1","0","Time employed in main current job"
"437","X757.2.0","X757","2","0","Time employed in main current job"
"438","X767.0.0","X767","0","0","Length of working week for main job"
"439","X767.1.0","X767","1","0","Length of working week for main job"
"440","X767.2.0","X767","2","0","Length of working week for main job"
"441","X777.0.0","X777","0","0","Frequency of travelling from home to job workplace"
"442","X777.1.0","X777","1","0","Frequency of travelling from home to job workplace"
"443","X777.2.0","X777","2","0","Frequency of travelling from home to job workplace"
"444","X796.0.0","X796","0","0","Distance between home and job workplace"
"445","X796.1.0","X796","1","0","Distance between home and job workplace"
"446","X796.2.0","X796","2","0","Distance between home and job workplace"
"447","X806.0.0","X806","0","0","Job involves mainly walking or standing"
"448","X806.1.0","X806","1","0","Job involves mainly walking or standing"
"449","X806.2.0","X806","2","0","Job involves mainly walking or standing"
"450","X816.0.0","X816","0","0","Job involves heavy manual or physical work"
"451","X816.1.0","X816","1","0","Job involves heavy manual or physical work"
"452","X816.2.0","X816","2","0","Job involves heavy manual or physical work"
"453","X826.0.0","X826","0","0","Job involves shift work"
"454","X826.1.0","X826","1","0","Job involves shift work"
"455","X826.2.0","X826","2","0","Job involves shift work"
"456","X845.0.0","X845","0","0","Age completed full time education"
"457","X845.1.0","X845","1","0","Age completed full time education"
