Homo sapiens,Drosophila Melanogaster,Relations,ID
55283,40152,n:m,
23576,32281,01:01,871282
51100,37218,n:1,539073
9403,39969,01:01,589296
9653,44433,01:01,
5586,35950,01:01,
2959,34430,01:01,593691
56267,41433,01:01,871685
8317,35095,1:m,
8317,31598,1:m,594740
646817,41844,n:1,
11146,246652,01:01,
7813,32088,n:1,596459
6125,3355124,01:01,905135
50999,32435,n:1,944160
1810,34875,01:01,884528
HUMAN01277,38534,n:1,
8412,DROME01106,n:1,
2730,248194,01:01,862061
5825,32992,01:01,593627
126969,38523,n:1,
199857,32479,01:01,848379
58155,48571,n:1,
1806,31858,01:01,865845
391059,36768,01:01,
178,DROME07535,01:01,846469
64645,38373,n:1,
163786,43555,01:01,
54482,40782,01:01,724514
1629,32441,01:01,733952
8634,31175,01:01,910436
148867,41342,01:01,893185
51611,42663,01:01,945564
280,47764,n:m,796811
280,36932,n:m,
279,47764,n:m,
279,36932,n:m,796832
277,47764,n:m,
277,36932,n:m,
277,47764,n:m,
277,36932,n:m,
277,47764,n:m,
277,36932,n:m,
HUMAN01329,32920,n:1,
284611,35400,n:1,
29899,53569,01:01,540708
6884,35297,01:01,779083
6301,33518,01:01,932599
1952,36125,n:1,
5686,36951,01:01,530162
2773,38765,n:1,
HUMAN01370,DROME20639,01:01,737855
10768,38342,n:1,
85369,38412,n:1,942420
257,42495,01:01,
3749,33599,n:1,
64783,35756,n:1,577337
3737,32780,n:1,552828
10390,36496,n:1,730727
1117,37390,n:m,
1117,49815,n:m,
1117,37392,n:m,
27159,37390,n:m,
27159,49815,n:m,
27159,37392,n:m,
79084,35289,01:01,
515,39143,01:01,892035
5906,38244,n:1,564965
3752,40129,n:1,
829,37387,n:1,
333926,33140,n:1,
9860,36788,n:1,
10745,35583,n:1,928769
51592,44235,n:1,291545
10286,43348,01:01,805076
4893,41140,n:1,
7812,38963,01:01,944992
81839,35922,n:1,932116
476,48971,n:1,
10905,31957,n:1,722674
54855,246653,n:1,
54834,59173,01:01,594244
10885,42196,01:01,593660
3283,39918,01:01,
4853,31293,n:1,
9554,31030,01:01,883054
51463,36682,n:1,574943
10623,41542,01:01,863201
8799,36758,n:1,829445
9939,35924,01:01,594540
128077,34405,01:01,919450
84265,39941,n:1,
10628,38023,01:01,712279
5565,DROME04788,n:1,825540
51463,36682,n:1,
653604,3772149,n:m,538851
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
121504,41773,n:m,588997
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,41773,n:m,
653604,3772149,n:m,
653604,3772149,n:m,538852
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,957734
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,3772346,n:m,
723790,3772346,n:m,
723790,3772346,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,
723790,318855,n:m,957739
723790,318855,n:m,
723790,318855,n:m,
723790,3772346,n:m,
723790,3772346,n:m,
723790,3772346,n:m,
723790,318855,n:m,
723790,318855,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,538853
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
653604,3772149,n:m,
121504,41773,n:m,
121504,41773,n:m,588998
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,3772129,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,41773,n:m,
121504,3772129,n:m,
121504,41773,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,318855,n:m,
8338,3772346,n:m,
8338,3772346,n:m,
8338,3772346,n:m,
8338,318855,n:m,
8338,318855,n:m,
51027,326121,01:01,816171
10262,31558,01:01,594098
11311,41153,01:01,785277
81611,37043,n:1,
51107,33467,n:1,932695
54460,318249,01:01,340542
9129,DROME12215,01:01,882532
58497,31194,01:01,
79626,DROME08059,n:1,
29765,43633,n:1,
6944,34516,01:01,594084
5710,40388,01:01,953566
8991,41610,01:01,929724
5692,40639,01:01,960770
81609,31493,01:01,
65005,41859,01:01,891288
HUMAN01660,33401,01:01,954343
6097,36073,n:1,
3713,40368,1:m,
3713,41376,1:m,
114771,39064,01:01,
23557,3772677,01:01,928168
3608,41529,01:01,881473
4881,41927,n:1,598978
65123,3355010,01:01,757259
9909,31800,n:1,
10899,38235,01:01,948231
6232,43039,n:1,
91181,35512,n:1,
7170,41852,n:1,
9898,35771,n:1,
HUMAN01769,41469,n:1,712702
55585,31214,n:1,747576
10654,35255,01:01,944088
6464,44052,n:1,923201
1163,34250,n:m,921458
1163,41034,n:m,
127579,38019,1:m,943721
127579,317977,1:m,
149095,39492,01:01,943722
54344,3885575,01:01,538700
HUMAN01802,318747,01:01,707599
HUMAN01805,42246,n:1,
7059,DROME01243,n:1,
4580,41152,01:01,
2629,42796,1:m,
2629,318721,1:m,554134
10067,32470,n:1,
1196,DROME17622,01:01,594322
57657,36589,01:01,805922
2224,36209,01:01,951601
55154,33119,01:01,575322
7818,37563,01:01,555953
6016,36776,n:1,
6746,39768,01:01,731371
56893,32977,n:1,
HUMAN01840,37122,01:01,543718
4000,33782,n:m,
4000,36615,n:m,594713
9673,42950,01:01,769038
23381,34804,01:01,942065
7203,42029,01:01,584367
128240,31944,01:01,735482
54865,43692,01:01,
51093,35753,01:01,935698
79590,33703,01:01,956327
5546,38201,01:01,
3645,35181,01:01,
375033,38218,n:1,
55243,31290,n:1,
8407,36468,n:m,
8407,38490,n:m,589362
57549,46015,01:01,
3766,35131,n:1,
93183,37470,01:01,900731
477,48971,n:1,
5824,34630,01:01,540199
1314,38199,01:01,593680
23385,42964,01:01,934745
57216,35922,n:1,
HUMAN01996,3771872,1:m,
HUMAN01996,41570,1:m,731400
5202,46121,01:01,822383
51506,36762,01:01,957690
5498,42939,01:01,904591
4720,43798,01:01,891357
84134,35553,n:m,
84134,44978,n:m,
6391,41340,01:01,959615
11266,32963,01:01,817830
9722,39111,01:01,
6675,33903,01:01,820740
4921,3346209,01:01,
5087,32567,n:1,
6258,31165,n:1,
HUMAN02070,35174,01:01,537847
7371,42894,n:1,
117143,318992,1:m,935144
117143,318991,1:m,
84944,40489,01:01,840426
8804,42092,01:01,888950
25874,41157,01:01,891099
261726,33018,01:01,943752
375035,40280,n:1,
481,33952,n:m,954181
481,33953,n:m,
481,35408,n:m,
29922,41174,01:01,815076
10560,34679,n:m,
10560,41307,n:m,
10560,41308,n:m,884934
22920,32071,01:01,923497
23215,32225,01:01,
51603,35326,01:01,838876
26052,45928,n:1,
5279,38410,01:01,933684
9588,33493,01:01,958027
27252,53556,01:01,596745
9910,38945,01:01,
27101,31597,01:01,775902
63931,117414,01:01,957366
55103,36881,n:1,805131
9917,41797,01:01,
6646,41033,n:1,894028
5768,36464,n:m,951564
5768,42583,n:m,
84320,3771728,01:01,594495
9213,38666,1:m,
9213,32786,1:m,920416
10228,40373,n:1,536085
777,32158,n:1,
2752,32087,01:01,871596
1660,35523,01:01,938775
10092,33444,n:1,
23179,44115,n:1,805129
23127,319025,n:1,949582
80267,34714,01:01,722680
6045,43327,01:01,540062
10216,33701,01:01,
7175,36264,01:01,593988
54953,39420,01:01,
HUMAN02263,39102,01:01,904537
6738,31320,01:01,
79577,41086,01:01,951970
8707,34105,01:01,
343450,5740325,n:1,881608
3075,35238,01:01,596501
5788,43469,01:01,
23271,36978,n:1,
779,34950,n:1,
252839,40638,01:01,
HUMAN02319,32794,n:1,
55705,41367,01:01,931018
10440,3355107,n:1,
127829,40961,n:1,
HUMAN02338,42513,01:01,
4660,49070,n:1,595582
127833,33473,01:01,594812
10765,33837,n:1,
5877,34142,01:01,539891
51094,42656,n:1,752501
HUMAN02355,249072,n:1,
1116,37390,n:m,
1116,49815,n:m,
1116,37392,n:m,855968
1118,37390,n:m,855966
1118,49815,n:m,
1118,37392,n:m,
493,43787,n:1,
100381270,33975,01:01,708410
6635,34080,01:01,885598
5287,39329,n:1,707038
23114,31792,n:1,594811
6900,40553,n:1,
5929,40239,01:01,731174
9911,DROME13344,n:1,
1510,34182,1:m,768455
1510,34494,1:m,
1510,30984,1:m,
1939,64874,01:01,932424
9261,44573,n:1,
5208,32938,n:1,759757
55432,38603,01:01,944293
722,32162,01:01,
5362,DROME18366,n:1,
27042,37803,01:01,943503
55733,44098,01:01,570965
3756,32428,01:01,
7779,38407,01:01,893186
25896,39141,01:01,902494
5525,43312,01:01,752246
28982,35697,n:1,595982
5784,33882,n:1,951010
51133,41207,n:1,913994
2104,38912,n:1,
51018,41805,01:01,
127018,41304,01:01,919749
2058,42834,01:01,928038
10380,43516,01:01,943834
55699,39762,01:01,531127
25782,34626,01:01,886985
4139,2768852,n:1,
54996,36014,n:1,
64757,36014,n:1,
84976,44274,n:1,942073
7159,37422,n:1,943370
8560,33836,01:01,803547
4931,DROME09888,01:01,593949
29097,33520,01:01,879490
80232,40386,01:01,538336
149111,34967,n:1,
3930,DROME07636,01:01,773192
6726,38883,01:01,742603
2052,251984,1:m,754620
2052,37181,1:m,
2052,37182,1:m,
9725,35779,n:1,
29920,42106,n:1,
3020,31848,n:m,538850
3020,31848,n:m,
64746,32983,01:01,897050
HUMAN02577,45960,01:01,835390
142,3355109,01:01,812515
HUMAN02583,40260,n:1,784225
56997,32239,n:1,855839
8476,37858,n:1,
375,40506,01:01,853160
HUMAN02601,39213,01:01,921141
200205,41030,01:01,792808
84033,43814,01:01,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,318855,n:m,
92815,3772346,n:m,
92815,3772346,n:m,
92815,3772346,n:m,
92815,318855,n:m,
92815,318855,n:m,
5867,36992,n:1,
55746,42680,01:01,894011
23456,30994,01:01,593606
2590,33556,01:01,771055
22796,41870,01:01,911462
10753,37232,01:01,
440730,34453,n:1,
149371,43163,01:01,945125
7257,41871,01:01,939416
84284,40326,01:01,903462
388753,7354420,01:01,
9804,40189,01:01,870335
23029,35027,01:01,
9453,38816,01:01,951602
6905,35532,01:01,947893
4811,36089,n:1,
56605,38500,n:1,540639
3964,33162,n:m,
3964,33163,n:m,
55127,33960,01:01,575344
88,31166,n:1,
6262,49090,n:1,
1131,37892,n:1,594988
6000,32674,n:1,773977
2271,31605,01:01,958658
8564,DROME04419,01:01,713388
1122,37246,n:1,
441925,42850,n:1,
10000,DROME15210,n:1,594553
159,42466,n:1,
51029,36138,01:01,536693
116228,49762,01:01,931990
3192,37146,01:01,
HUMAN02724,37278,1:m,595552
HUMAN02724,37405,1:m,
64754,44554,01:01,862498
51097,40623,1:m,745008
51097,41521,1:m,
22982,252479,n:1,593974
23560,35963,01:01,952612
91734,42526,n:1,
3422,42526,n:1,828137
22884,42218,01:01,597840
5214,36060,n:1,
10531,35475,01:01,931918
2665,34264,n:1,
84991,3355114,01:01,
5209,32938,n:1,
22944,40242,01:01,536676
509,43507,01:01,904277
10659,DROME02355,n:m,
10659,250811,n:m,
79746,36926,01:01,954551
26019,31724,01:01,538199
55526,43689,01:01,959562
55176,33905,n:1,958339
57118,43792,n:1,
55388,35390,01:01,921685
22929,36587,n:1,
8559,42285,01:01,899759
414149,38783,01:01,
9397,38909,n:1,
8516,36693,01:01,
80013,32885,01:01,706880
9317,41116,01:01,931008
6251,34774,01:01,596639
8029,326235,01:01,291066
1787,34632,01:01,917326
9200,34614,n:1,920911
8027,34505,01:01,
221078,40507,01:01,759425
221079,38931,n:1,853165
10529,39864,n:1,
64215,32902,01:01,939171
23412,31856,01:01,742595
5305,3885565,n:1,538210
219670,38322,01:01,917651
2572,38484,n:1,
23590,43697,01:01,951600
10006,41718,n:1,595486
84930,45969,01:01,933105
22931,44360,01:01,
143098,36176,01:01,921142
HUMAN02993,37340,n:1,
HUMAN02999,37340,n:1,
6935,43650,01:01,594918
3799,36810,n:1,
3688,44885,01:01,596389
56288,32703,01:01,944773
8453,35420,01:01,539581
8325,40090,n:1,
9790,39904,01:01,724766
55454,36079,n:1,
HUMAN03070,37331,n:1,
100287932,3355096,n:1,
HUMAN03077,33019,n:1,
653145,33019,n:1,
5599,44801,n:1,
1103,DROME15682,01:01,853482
6572,42795,01:01,595438
55753,39899,n:1,
100652748,3355096,n:1,
387680,37331,n:1,595081
56624,43618,01:01,926323
65217,43528,01:01,947725
7019,42433,01:01,595610
80114,DROME02866,01:01,953582
983,34411,01:01,593780
9886,40249,n:1,
84890,38901,01:01,822323
55680,43277,n:1,
1763,31934,01:01,897293
HUMAN03219,33714,01:01,768996
6832,40543,01:01,812434
56681,42615,n:1,853158
5464,DROME08304,01:01,960320
55222,32156,01:01,594488
1979,33569,n:1,540042
8879,46059,01:01,910180
219699,36703,n:1,
51008,36044,01:01,925832
54541,39270,01:01,940623
HUMAN03269,41707,01:01,951943
HUMAN03270,33999,01:01,
90550,59223,01:01,576399
5033,43620,n:1,
11319,38291,01:01,828590
23234,41346,01:01,898456
51021,36570,01:01,594441
310,32612,n:1,594370
9632,33409,n:1,593778
118487,50139,01:01,
23053,50356,01:01,923647
8509,38736,n:1,810309
7414,31201,01:01,917594
26985,31647,n:1,590080
132,39479,01:01,862873
338599,32888,01:01,817836
7417,34500,n:1,960393
84858,34847,n:1,
83938,318582,01:01,940974
3778,42940,01:01,881609
9231,34573,01:01,945249
11128,32524,01:01,956664
10105,39573,1:m,
10105,32595,1:m,594405
143244,37846,n:1,
311,32612,n:1,
4143,48552,n:1,
81619,33838,n:1,
27069,40898,1:m,949876
27069,32041,1:m,
2746,42832,n:1,950077
9060,40167,n:1,
84896,DROME01974,01:01,
5728,43991,01:01,
142910,34450,n:m,
142910,34451,n:m,
142910,34463,n:m,
142910,36686,n:m,
142910,40267,n:m,
142910,41643,n:m,
8513,34450,n:m,
8513,34451,n:m,
8513,34463,n:m,
8513,36686,n:m,
8513,40267,n:m,
8513,41643,n:m,882608
643414,34450,n:m,
643414,34451,n:m,
643414,34463,n:m,
643414,36686,n:m,
643414,40267,n:m,
643414,41643,n:m,
643418,34450,n:m,
643418,34451,n:m,
643418,34463,n:m,
643418,36686,n:m,
643418,40267,n:m,
643418,41643,n:m,
340654,34450,n:m,
340654,34451,n:m,
340654,34463,n:m,
340654,36686,n:m,
340654,40267,n:m,
340654,41643,n:m,
HUMAN03405,43617,n:1,
3988,34450,n:m,
3988,34451,n:m,
3988,34463,n:m,882614
3988,36686,n:m,
3988,40267,n:m,
3988,41643,n:m,
10556,44392,01:01,917789
80351,43095,n:1,
9044,41943,01:01,818087
54708,40556,01:01,910923
3416,40248,01:01,852433
54536,42499,n:1,
118924,DROME02602,01:01,
159371,41375,01:01,857767
64318,40870,01:01,941614
142827,41477,01:01,
5832,40443,01:01,955695
7093,42945,n:1,
56889,38635,01:01,576479
6585,36746,n:1,602038
23223,32320,01:01,960194
5223,46246,n:m,
5223,43447,n:m,759744
51013,34548,01:01,871109
84287,43268,01:01,846164
64210,40626,01:01,873452
80019,40647,n:1,
118812,40627,01:01,594486
55361,40670,n:1,
401647,43192,n:1,922310
2805,36782,01:01,885544
81894,43353,n:1,769021
51076,41877,01:01,816476
1355,37809,01:01,954452
55280,36208,01:01,593791
282991,39234,01:01,761457
9033,40116,n:m,
9033,31246,n:m,
6319,41536,n:m,
6319,117369,n:m,
25956,35877,n:1,
4714,31604,01:01,937263
84545,37750,01:01,943965
81855,40552,n:1,
8945,42504,n:1,594165
25911,38095,01:01,831235
HUMAN03567,40252,01:01,952989
10360,43560,01:01,
10724,42518,01:01,938594
30819,43126,01:01,594860
79591,41060,01:01,899204
5309,32723,01:01,
8729,36337,01:01,557603
79176,33705,01:01,597909
79004,40967,01:01,881960
10121,41566,n:1,550402
51684,41565,01:01,938669
403,42580,01:01,853166
118980,40080,01:01,958309
22978,DROME21501,01:01,799872
729020,35692,n:1,
6877,47900,01:01,593734
9148,41085,n:1,948608
HUMAN03619,43654,01:01,
9748,37893,n:1,597808
9446,38972,n:m,
9446,38973,n:m,927028
9446,38974,n:m,
9446,38975,n:m,
119391,38972,n:m,927013
119391,38973,n:m,
119391,38974,n:m,
119391,38975,n:m,
159686,43269,1:m,594425
159686,3355174,1:m,
7511,35029,01:01,893357
120,37230,n:1,
10285,7354399,01:01,936694
9126,32627,01:01,593676
27250,32337,01:01,809075
8036,42093,01:01,595500
150,42258,n:1,
57678,43350,n:1,954482
51703,40056,n:1,
64429,39057,1:m,
64429,41522,1:m,933289
143187,38085,01:01,795937
840,43514,01:01,895937
374354,3355145,01:01,720805
153,43484,01:01,
55088,39810,01:01,
3983,41178,1:m,
3983,261629,1:m,594805
26033,43315,n:1,
5406,36895,n:1,
5407,36895,n:1,
6571,3346192,n:1,594505
118987,32157,01:01,955220
8661,40563,01:01,593762
10935,42109,01:01,958026
2869,49045,01:01,594835
7073,42848,n:1,594474
22876,42545,01:01,952983
79892,33976,01:01,882548
196051,40672,n:1,
2263,42160,n:1,
11101,37288,01:01,738077
64376,41073,01:01,
36,40059,01:01,911725
9184,43490,01:01,539527
4942,40145,01:01,918223
54764,41179,01:01,934232
1488,41602,n:1,958786
26098,38997,01:01,936370
7390,41908,1:m,
7390,31817,1:m,813174
56647,41690,01:01,945284
92565,40539,01:01,596069
8038,3772109,n:m,
8038,32561,n:m,
1793,42817,n:1,
253738,DROME06106,n:1,934815
55844,47877,n:1,
282974,40560,n:1,
3632,326119,01:01,857378
10844,32946,01:01,932639
1892,36536,01:01,954549
196743,41026,01:01,
HUMAN03825,42697,n:1,
92170,42697,n:1,931756
60626,31874,n:1,769571
5719,42802,01:01,
HUMAN03845,34607,01:01,
3265,41140,n:1,565009
10522,40164,01:01,943296
HUMAN03881,33268,n:m,
HUMAN03881,DROME15356,n:m,
6888,37804,01:01,916072
79751,41448,01:01,
6181,36855,01:01,942436
5441,42942,01:01,941414
66005,34115,01:01,554080
161,33211,n:1,
727897,318824,01:01,
HUMAN03915,39732,n:1,598088
387264,DROME18448,1:m,
387264,5740714,1:m,
387266,33954,01:01,614390
439915,32893,01:01,
440023,5740831,01:01,608691
1509,45268,01:01,768453
7136,32794,n:1,
6150,38302,n:1,538709
7054,38746,01:01,915182
4676,37798,n:1,
833,36784,01:01,925498
114879,42412,n:1,
27315,33258,01:01,575563
391,43319,01:01,564979
6240,34392,01:01,816321
