Homo sapiens,Mus Musculus,Relations,ID
26232,230904,01:01,936072
26270,MOUSE34781,01:01,936071
HUMAN00251,71890,01:01,820944
374946,70433,01:01,783210
57085,11610,01:01,946943
4524,MOUSE34772,01:01,775155
HUMAN00261,MOUSE34767,01:01,923331
4878,230899,01:01,845126
4879,18158,01:01,811394
HUMAN00264,77034,01:01,955530
5351,18822,01:01,576600
9927,170731,01:01,806651
60672,28010,01:01,866987
943,21941,01:01,917284
7133,21938,01:01,883965
55187,MOUSE34710,01:01,706937
9249,MOUSE34703,01:01,566527
343066,627085,1:m,
343066,435815,1:m,777090
343066,230890,1:m,
343066,329993,1:m,
126767,230883,01:01,777105
93190,69364,01:01,911577
390999,77632,n:1,
65121,329986,n:m,
65121,279185,n:m,
65121,277666,n:m,
65121,195555,n:m,761669
65121,329984,n:m,
65121,MOUSE34672,n:m,
65121,MOUSE34675,n:m,
65121,100040885,n:m,
65121,665802,n:m,
65121,100040981,n:m,
65121,381724,n:m,
65121,622744,n:m,
65121,100041032,n:m,
65121,624421,n:m,
65121,MOUSE36839,n:m,
65121,100862115,n:m,
65121,MOUSE36845,n:m,
65121,100041253,n:m,
65121,MOUSE36851,n:m,
65121,100041253,n:m,
65121,320549,n:m,
65121,665943,n:m,
65121,100040981,n:m,
65121,381724,n:m,
65121,622744,n:m,
65121,665943,n:m,
65121,MOUSE55653,n:m,
65121,100041253,n:m,
65121,100041253,n:m,
65121,624421,n:m,
65121,100862115,n:m,
65121,MOUSE55701,n:m,
65121,665943,n:m,
65121,100041253,n:m,
440560,77632,n:1,
65122,329986,n:m,
65122,279185,n:m,
65122,277666,n:m,
65122,195555,n:m,
65122,329984,n:m,
65122,MOUSE34672,n:m,
65122,MOUSE34675,n:m,
65122,100040885,n:m,
65122,665802,n:m,
65122,100040981,n:m,
65122,381724,n:m,
65122,622744,n:m,
65122,100041032,n:m,
65122,624421,n:m,
65122,MOUSE36839,n:m,
65122,100862115,n:m,
65122,MOUSE36845,n:m,
65122,100041253,n:m,
65122,MOUSE36851,n:m,
65122,100041253,n:m,
65122,320549,n:m,
65122,665943,n:m,
65122,100040981,n:m,
65122,381724,n:m,
65122,622744,n:m,
65122,665943,n:m,
65122,MOUSE55653,n:m,761687
65122,100041253,n:m,
65122,100041253,n:m,
65122,624421,n:m,
65122,100862115,n:m,
65122,MOUSE55701,n:m,
65122,665943,n:m,
65122,100041253,n:m,
343071,329986,n:m,
343071,279185,n:m,
343071,277666,n:m,
343071,195555,n:m,
343071,329984,n:m,
343071,MOUSE34672,n:m,
343071,MOUSE34675,n:m,
343071,100040885,n:m,
343071,665802,n:m,
343071,100040981,n:m,
343071,381724,n:m,
343071,622744,n:m,
343071,100041032,n:m,
343071,624421,n:m,
343071,MOUSE36839,n:m,
343071,100862115,n:m,
343071,MOUSE36845,n:m,
343071,100041253,n:m,
343071,MOUSE36851,n:m,
343071,100041253,n:m,
343071,320549,n:m,
343071,665943,n:m,
343071,100040981,n:m,761672
343071,381724,n:m,
343071,622744,n:m,
343071,665943,n:m,
343071,MOUSE55653,n:m,
343071,100041253,n:m,
343071,100041253,n:m,
343071,624421,n:m,
343071,100862115,n:m,
343071,MOUSE55701,n:m,
343071,665943,n:m,
343071,100041253,n:m,
441871,77632,n:1,
440561,77632,n:1,
101929983,83491,n:1,761664
645359,77632,n:1,
645359,77632,n:1,761662
343070,83491,n:1,
HUMAN00294,329986,n:m,
HUMAN00294,279185,n:m,
HUMAN00294,277666,n:m,
HUMAN00294,195555,n:m,
HUMAN00294,329984,n:m,
HUMAN00294,MOUSE34672,n:m,
HUMAN00294,MOUSE34675,n:m,
HUMAN00294,100040885,n:m,
HUMAN00294,665802,n:m,
HUMAN00294,100040981,n:m,
HUMAN00294,381724,n:m,
HUMAN00294,622744,n:m,
HUMAN00294,100041032,n:m,
HUMAN00294,624421,n:m,
HUMAN00294,MOUSE36839,n:m,
HUMAN00294,100862115,n:m,
HUMAN00294,MOUSE36845,n:m,
HUMAN00294,100041253,n:m,
HUMAN00294,MOUSE36851,n:m,
HUMAN00294,100041253,n:m,
HUMAN00294,320549,n:m,
HUMAN00294,665943,n:m,
HUMAN00294,100040981,n:m,
HUMAN00294,381724,n:m,761663
HUMAN00294,622744,n:m,
HUMAN00294,665943,n:m,
HUMAN00294,MOUSE55653,n:m,
HUMAN00294,100041253,n:m,
HUMAN00294,100041253,n:m,
HUMAN00294,624421,n:m,
HUMAN00294,100862115,n:m,
HUMAN00294,MOUSE55701,n:m,
HUMAN00294,665943,n:m,
HUMAN00294,100041253,n:m,
391002,77632,n:1,
653619,77632,n:1,
729528,329986,n:m,
729528,279185,n:m,
729528,277666,n:m,
729528,195555,n:m,
729528,329984,n:m,
729528,MOUSE34672,n:m,
729528,MOUSE34675,n:m,
729528,100040885,n:m,
729528,665802,n:m,
729528,100040981,n:m,
729528,381724,n:m,
729528,622744,n:m,
729528,100041032,n:m,
729528,624421,n:m,761692
729528,MOUSE36839,n:m,
729528,100862115,n:m,
729528,MOUSE36845,n:m,
729528,100041253,n:m,
729528,MOUSE36851,n:m,
729528,100041253,n:m,
729528,320549,n:m,
729528,665943,n:m,
729528,100040981,n:m,
729528,381724,n:m,
729528,622744,n:m,
729528,665943,n:m,
729528,MOUSE55653,n:m,
729528,100041253,n:m,
729528,100041253,n:m,
729528,624421,n:m,
729528,100862115,n:m,
729528,MOUSE55701,n:m,
729528,665943,n:m,
729528,100041253,n:m,
HUMAN00299,100503733,1:m,
HUMAN00299,MOUSE36844,1:m,
HUMAN00299,MOUSE36854,1:m,761688
HUMAN00299,MOUSE55698,1:m,
HUMAN00299,100503733,1:m,
HUMAN00299,MOUSE55717,1:m,
391004,329986,n:m,
391004,279185,n:m,
391004,277666,n:m,
391004,195555,n:m,
391004,329984,n:m,
391004,MOUSE34672,n:m,
391004,MOUSE34675,n:m,
391004,100040885,n:m,
391004,665802,n:m,
391004,100040981,n:m,
391004,381724,n:m,
391004,622744,n:m,290026
391004,100041032,n:m,
391004,624421,n:m,
391004,MOUSE36839,n:m,
391004,100862115,n:m,
391004,MOUSE36845,n:m,
391004,100041253,n:m,
391004,MOUSE36851,n:m,
391004,100041253,n:m,
391004,320549,n:m,
391004,665943,n:m,
391004,100040981,n:m,
391004,381724,n:m,
391004,622744,n:m,
391004,665943,n:m,
391004,MOUSE55653,n:m,
391004,100041253,n:m,
391004,100041253,n:m,
391004,624421,n:m,
391004,100862115,n:m,
391004,MOUSE55701,n:m,
391004,665943,n:m,
391004,100041253,n:m,
126755,242735,01:01,600688
HUMAN00304,14726,01:01,914409
7799,110593,01:01,897503
HUMAN00308,MOUSE34631,01:01,785789
55092,214359,01:01,876615
114827,329977,01:01,604072
79180,27984,01:01,900357
11330,MOUSE34625,01:01,
63036,13706,n:1,
51032,13706,n:1,598467
23341,214063,01:01,923790
79814,75986,01:01,948813
84301,68817,01:01,899233
23207,69582,01:01,933206
284723,384071,01:01,769063
388595,213989,01:01,912723
54751,74202,01:01,597548
440567,66576,n:1,
23013,56381,01:01,595476
7709,22642,01:01,595746
149563,277744,01:01,851441
27129,29818,01:01,857593
1187,12733,n:m,
1187,56365,n:m,
1188,12733,n:m,923338
1188,56365,n:m,
348487,277743,01:01,870732
1969,13836,01:01,602623
128272,213649,01:01,597927
79363,76166,01:01,901516
54455,213499,01:01,845000
26099,213491,01:01,791558
374955,329972,01:01,920084
55707,66147,01:01,909427
9696,230872,01:01,601426
4237,MOUSE34570,01:01,901792
23400,74772,01:01,712700
6390,67680,01:01,901455
11240,18600,01:01,714972
29943,18599,01:01,714974
51702,MOUSE34563,01:01,714973
23569,18602,01:01,714975
353238,242726,01:01,714977
55920,108911,01:01,594050
55160,MOUSE34549,01:01,892507
84966,230868,01:01,925018
127707,242721,01:01,903212
5081,18509,01:01,600616
80834,83770,01:01,926918
8659,212647,01:01,530735
126917,212632,01:01,
23352,MOUSE34533,01:01,929833
23065,230866,01:01,707105
51154,69902,01:01,889458
8574,110198,01:01,879854
54896,212555,01:01,922319
832,12345,01:01,537097
440574,433771,n:1,
HUMAN00396,433771,n:1,
4681,17965,01:01,923869
3362,15565,01:01,850025
255104,77056,01:01,738376
54546,MOUSE34507,01:01,914730
23252,73162,01:01,803946
30814,26970,01:01,931149
5320,MOUSE34501,01:01,931152
5322,18784,01:01,931151
26279,18782,01:01,931157
64600,26971,01:01,931147
391013,18781,01:01,931154
127733,212190,01:01,882216
HUMAN00412,75718,01:01,879086
55450,66259,01:01,886326
79594,68350,01:01,912594
163933,625638,01:01,898167
978,72269,01:01,899888
65018,MOUSE34484,01:01,787635
HUMAN00420,13200,01:01,870715
57576,16559,01:01,595298
400745,230863,01:01,901790
50809,15441,01:01,
HUMAN00426,MOUSE34464,01:01,597500
1889,230857,01:01,942907
249,11647,01:01,745712
5909,110351,01:01,764686
HUMAN00434,170707,01:01,811225
3339,15530,01:01,598979
23436,242711,1:m,
23436,67868,1:m,600230
998,12540,01:01,564951
54361,22417,01:01,938311
2046,13842,01:01,599121
712,12259,01:01,832277
714,12262,01:01,597687
713,12260,01:01,595871
2048,13844,01:01,597705
HUMAN00453,242707,01:01,794986
HUMAN00454,67663,01:01,827776
23028,MOUSE34408,01:01,904594
7798,269593,01:01,930889
3352,15552,01:01,603592
10236,74326,01:01,594991
80818,22704,01:01,601131
6920,21401,01:01,904418
55616,230837,01:01,596700
1870,242705,01:01,833096
3399,15903,01:01,946490
6135,MOUSE19008,1:m,
6135,MOUSE34385,1:m,960870
6924,27224,01:01,902199
57095,66193,01:01,901082
11313,26394,01:01,919745
2582,74246,01:01,593576
3155,15356,01:01,879162
2517,71665,01:01,832629
1269,12802,01:01,596294
55629,52830,01:01,340247
10772,14105,01:01,596465
127294,242702,01:01,597835
58985,230828,01:01,881685
163702,242700,01:01,888554
57822,230824,01:01,847973
90529,78806,01:01,892320
57185,74552,01:01,566083
11123,53902,01:01,944133
400746,230822,01:01,891145
HUMAN00494,51796,01:01,594220
25932,29876,01:01,927022
864,12399,01:01,899310
25949,68592,01:01,948478
57035,27981,01:01,596464
HUMAN00499,19746,n:1,
23585,71817,01:01,717203
HUMAN00502,19746,n:1,550683
55219,66146,01:01,595017
26119,100017,01:01,898094
57134,230815,01:01,722677
57190,74777,01:01,910045
56181,76824,01:01,298287
79000,69885,01:01,837106
164091,71904,01:01,752506
3925,16765,01:01,901529
5051,MOUSE34313,01:01,570663
2134,56219,01:01,914418
7780,230810,01:01,893184
84676,433766,01:01,556167
149420,230809,01:01,296363
79927,72690,01:01,858988
110806296,115489946,01:01,791645
HUMAN00522,MOUSE34300,01:01,284827
10256,194231,01:01,922718
HUMAN00525,329954,01:01,917317
64793,70012,01:01,904121
83442,73723,01:01,598480
91544,67586,01:01,902484
55057,230806,01:01,829839
257101,MOUSE34278,01:01,889125
79727,83557,01:01,599929
79947,MOUSE34273,01:01,961080
3151,MOUSE18732,1:m,
3151,15331,1:m,
3151,15331,1:m,
6195,20111,01:01,596741
8289,93760,01:01,595654
55650,230801,01:01,594104
84243,503610,01:01,846172
2810,55948,01:01,846605
54707,100210,01:01,892838
63906,242691,01:01,900364
10726,18221,01:01,756866
8431,23957,01:01,299727
126695,69073,01:01,874271
388610,69539,01:01,886364
115572,100342,01:01,909524
23038,230796,01:01,797852
HUMAN00566,52174,01:01,898223
84958,269589,01:01,911587
9064,53608,01:01,954390
388611,69655,01:01,875804
2827,14748,01:01,882209
10163,242687,01:01,596244
27245,230793,01:01,925109
2268,14191,01:01,599118
199870,230789,01:01,596640
23673,100226,01:01,575452
5511,100336,01:01,944513
9473,230787,01:01,890114
HUMAN00583,19891,01:01,945090
27293,100340,01:01,745802
55113,381560,01:01,935324
2140,MOUSE34209,01:01,831529
5724,19204,01:01,896979
22826,68598,01:01,847916
93974,MOUSE34194,01:01,885314
83667,230784,01:01,881396
54797,67219,01:01,893160
65979,100169,01:01,595478
1104,100088,01:01,593917
54952,71787,01:01,594874
6883,66464,01:01,595529
10691,56809,01:01,926378
51441,213541,01:01,898947
4985,18386,01:01,597028
2035,MOUSE34159,01:01,942838
399474,623230,01:01,848719
6429,57317,01:01,596393
51102,26922,01:01,874775
10076,19273,01:01,291289
4146,17180,01:01,
7805,16792,01:01,881495
9672,20970,01:01,604925
HUMAN00622,80912,01:01,291450
79570,67149,01:01,904104
9410,66585,01:01,593783
51538,619605,01:01,600032
2170,14077,01:01,894422
347735,230779,01:01,819462
64129,94242,01:01,823345
3061,230777,01:01,596976
553115,67898,01:01,595376
1307,MOUSE34116,01:01,599630
576,230775,01:01,291230
90853,MOUSE34102,01:01,848683
8073,19244,01:01,890576
10657,20218,01:01,708006
55116,230770,01:01,889528
23633,MOUSE34094,01:01,557172
200081,109658,01:01,598419
79140,66264,01:01,925819
55721,230767,01:01,288640
149069,MOUSE34081,01:01,598482
56063,76799,01:01,922138
8668,54709,01:01,593648
84734,230766,01:01,854150
HUMAN00659,16818,01:01,598340
3065,MOUSE18670,1:m,
3065,433759,1:m,895764
65108,17357,01:01,597684
81629,58864,01:01,595357
100128071,68233,01:01,285396
55108,100383,01:01,928115
HUMAN00666,215627,01:01,932305
653121,73680,01:01,596563
339487,67106,01:01,941473
5928,19646,01:01,537039
81493,68828,01:01,863299
57648,97130,01:01,595596
8565,MOUSE34043,01:01,953982
64766,74648,01:01,838982
HUMAN00681,384061,01:01,892069
3208,MOUSE34034,01:01,596299
113452,66260,01:01,791788
127544,75234,01:01,538370
204,11637,01:01,959449
113451,242669,01:01,891494
55223,67525,01:01,556161
149076,230761,01:01,596988
127550,MOUSE34012,01:01,737160
1912,54383,01:01,597190
7579,269585,01:01,848687
114784,329942,01:01,291067
127540,69317,01:01,597556
84970,635169,01:01,871485
113444,80284,01:01,887538
2709,14622,01:01,299647
127534,14621,01:01,896282
2707,14620,01:01,299800
2701,14612,01:01,898086
58512,242667,01:01,911312
100506144,100039968,01:01,933966
9204,100177,01:01,291362
79830,MOUSE33982,01:01,839002
6421,71514,01:01,596099
9202,67785,01:01,807521
79932,100317,01:01,945017
23154,26562,01:01,813879
339488,332937,01:01,878600
5690,26445,01:01,958228
127703,230757,01:01,876180
63967,269582,01:01,594638
192670,76850,01:01,724855
26523,236511,01:01,724856
192669,214150,01:01,724857
27285,24084,01:01,909714
54936,100206,01:01,813257
1296,329941,01:01,596663
27095,27096,01:01,957638
55700,245877,01:01,596696
9967,230753,01:01,600086
79729,66938,01:01,885331
55194,230752,01:01,288841
HUMAN00731,74178,01:01,894358
84967,116748,01:01,940191
127700,230751,01:01,730948
64960,66407,01:01,
1441,12986,01:01,934302
2899,14807,01:01,849304
80149,230738,01:01,878559
64769,70088,01:01,858800
79753,76793,01:01,594227
HUMAN00745,75563,01:01,925642
29889,230737,01:01,931759
284654,192199,01:01,945266
55143,52276,01:01,934040
HUMAN00752,MOUSE33907,01:01,596520
149175,215090,01:01,714936
79693,230734,01:01,871320
127687,MOUSE33902,01:01,814079
4520,17764,01:01,928269
HUMAN00757,16330,01:01,575242
10946,75062,01:01,917485
2275,MOUSE33888,01:01,600082
51118,67205,01:01,911447
5453,18991,01:01,889082
64121,54170,01:01,882898
HUMAN00765,56309,01:01,900912
54933,230726,01:01,569381
79647,68050,01:01,955599
4725,MOUSE33876,01:01,836408
HUMAN00773,MOUSE33873,01:01,800394
353500,12163,n:1,
8761,230721,01:01,593802
26508,56198,01:01,925407
84618,230718,01:01,846074
51440,170638,01:01,595629
10450,56031,01:01,596181
656,12163,n:1,887975
64064,353371,1:m,
64064,64059,1:m,943456
54802,66966,01:01,961717
4610,16918,01:01,944428
84879,76574,01:01,594091
10487,12331,01:01,756614
5538,19063,01:01,929171
6018,MOUSE33827,01:01,291152
127391,69469,01:01,287458
10269,230709,01:01,703982
1298,12840,01:01,597034
64744,69780,01:01,595525
339559,381549,01:01,
64789,73172,01:01,823194
9783,242662,01:01,910855
4802,18046,01:01,598080
9132,60613,01:01,552845
163732,56222,01:01,819789
1503,51797,01:01,961334
200172,194219,01:01,886094
22955,29871,01:01,933971
1907,13615,01:01,925539
59269,16656,01:01,848681
2981,14916,01:01,917030
2980,14915,01:01,917029
22887,230700,01:01,891162
284716,194237,01:01,766218
84217,332934,01:01,913832
79717,106564,01:01,932911
728621,73332,01:01,597629
10465,66101,1:m,593892
10465,66101,1:m,
4904,22608,01:01,602446
149461,242653,01:01,884118
64175,56401,01:01,939411
79078,230696,01:01,724074
HUMAN00836,75180,01:01,585680
374969,69216,01:01,882221
114625,MOUSE33753,01:01,556174
51058,195522,01:01,605501
6513,20525,01:01,594506
HUMAN00844,75429,01:01,
10969,69072,01:01,594461
149465,68625,01:01,594620
128218,230678,01:01,893151
149466,66451,01:01,843023
7075,21846,01:01,600068
4352,17480,01:01,946725
991,107995,01:01,594383
64834,54325,01:01,742804
112950,80509,01:01,898099
23334,230676,01:01,924902
HUMAN00857,MOUSE33700,01:01,808014
5792,19268,01:01,599972
9682,230674,01:01,944945
6487,20441,01:01,919868
HUMAN00867,11876,01:01,807650
9670,230673,01:01,575409
1802,67728,01:01,941821
HUMAN00873,114143,01:01,
8704,53418,01:01,933523
149473,MOUSE33671,01:01,896495
HUMAN00881,14664,01:01,868866
128209,75753,01:01,798184
55929,66233,01:01,933468
79639,68777,01:01,576204
339541,MOUSE33644,01:01,928045
11004,73804,01:01,600773
6202,100040298,01:01,961001
1263,MOUSE33638,01:01,594969
343521,242646,01:01,816660
149478,78611,01:01,597734
8643,19207,01:01,883351
8891,108067,01:01,593959
79654,76608,01:01,934270
7389,22275,01:01,745570
57643,74464,01:01,894337
84842,242642,01:01,955573
4595,70603,01:01,530256
114034,68276,01:01,557775
10420,230661,01:01,937390
25974,67096,01:01,282961
5052,MOUSE33600,01:01,958025
10327,58810,01:01,879843
4678,50927,01:01,599709
149483,622665,01:01,913948
60313,77110,01:01,284793
51249,230657,01:01,573905
3652,16351,01:01,597160
23139,MOUSE33582,01:01,595326
110117499,MOUSE33578,1:m,
110117499,18710,1:m,914128
10103,66805,01:01,738167
110117498,67323,01:01,287460
55624,68273,01:01,901981
541468,68075,01:01,890124
8438,19366,01:01,593753
10489,230654,01:01,850402
7388,66576,n:1,599309
HUMAN00942,MOUSE33566,01:01,294993
2166,14073,01:01,771957
127343,140477,01:01,
105378696,76237,01:01,868479
148930,654462,01:01,284787
HUMAN00947,17346,01:01,595108
HUMAN00952,100465,01:01,557628
64756,MOUSE33547,01:01,738611
374973,75173,01:01,286417
9813,230648,01:01,916239
1580,13120,01:01,905270
HUMAN00961,277753,n:m,
HUMAN00961,13118,n:m,905286
HUMAN00961,13117,n:m,
HUMAN00961,666168,n:m,
HUMAN00961,100040843,n:m,
260293,81906,01:01,905266
HUMAN00964,277753,n:m,
HUMAN00964,13118,n:m,
HUMAN00964,13117,n:m,905336
HUMAN00964,666168,n:m,
HUMAN00964,100040843,n:m,
10158,MOUSE33522,01:01,890397
6886,21349,01:01,901438
6491,20460,01:01,598372
51727,66588,01:01,959451
2301,30923,01:01,610584
2306,17301,01:01,867014
388630,666048,01:01,913872
200010,230612,01:01,926618
54558,67946,01:01,845129
84871,78933,01:01,873660
79656,67621,01:01,928913
1996,15572,01:01,595971
63950,242620,01:01,905212
11124,14084,01:01,795895
1031,12580,01:01,597463
284546,67646,01:01,
26994,29864,01:01,600836
22996,230603,01:01,778464
2060,13858,01:01,598618
114883,100273,01:01,575041
4898,230598,01:01,852441
5865,69908,01:01,565072
51060,66073,01:01,715561
112970,100087,01:01,885696
91408,70533,1:m,909682
91408,70533,1:m,
9372,230597,01:01,934167
200014,319965,01:01,756772
4998,18392,01:01,938158
84950,230596,01:01,594106
23318,230594,01:01,904347
2882,67305,01:01,903968
348378,545667,01:01,890447
65260,69893,01:01,594841
79699,414872,01:01,872171
440590,230590,01:01,872169
55268,52430,01:01,954565
6342,20280,01:01,949340
HUMAN01022,242608,01:01,598869
6512,MOUSE33379,01:01,
HUMAN01024,12896,01:01,853479
54987,74098,01:01,891087
4116,17149,n:m,
4116,66441,n:m,891662
7804,16975,01:01,600273
63948,56296,01:01,926108
148979,230587,01:01,900923
55706,72787,01:01,764783
54432,230584,01:01,918687
1733,13370,01:01,843038
51668,72938,01:01,912626
115353,77809,01:01,858963
388633,546840,01:01,601015
9528,56374,01:01,288838
200008,242603,01:01,597628
606495,230582,01:01,888102
51253,56280,01:01,
23648,72475,01:01,594666
26027,329910,01:01,932822
338094,230579,01:01,815175
HUMAN01055,381538,01:01,919069
7268,72354,01:01,797941
25973,MOUSE33296,01:01,956224
55001,230576,01:01,929102
163747,242602,01:01,921373
1718,74754,01:01,927916
7809,140475,01:01,892493
255738,100102,01:01,598683
23358,MOUSE33286,01:01,903181
8613,67916,01:01,556007
5563,108079,01:01,594445
199920,242594,01:01,893165
731,230558,01:01,293317
732,110382,01:01,912235
HUMAN01073,13131,01:01,293306
115209,67013,01:01,797219
4070,56753,01:01,892677
114803,320713,01:01,903748
3725,16476,01:01,929235
55277,75578,01:01,712409
51361,77963,01:01,596110
1573,13110,1:m,905267
1573,74519,1:m,
127795,620779,01:01,878555
4774,18027,01:01,787573
HUMAN01084,94043,01:01,594470
10207,12695,01:01,598113
54596,MOUSE33167,01:01,292082
163782,242553,01:01,596665
7398,230484,01:01,596965
85440,67299,01:01,717226
27329,30924,01:01,601681
84938,242557,01:01,922662
27022,15221,01:01,897516
HUMAN01099,320438,01:01,593841
23421,67733,01:01,831503
84455,MOUSE33192,01:01,937710
5236,MOUSE33195,01:01,899138
4919,26563,01:01,955128
HUMAN01105,381534,01:01,
HUMAN01106,MOUSE33200,01:01,919530
55225,242570,01:01,948369
3716,16451,01:01,603481
205,11639,01:01,959453
9829,MOUSE33210,01:01,599813
54741,230514,01:01,901402
3953,16847,01:01,940196
5142,18578,01:01,761094
HUMAN01116,73094,01:01,599151
200132,MOUSE33248,01:01,816655
10022,23919,01:01,851924
79819,242584,01:01,925866
57708,71148,01:01,944014
23169,MOUSE33262,01:01,857770
HUMAN01128,70941,01:01,
149233,209590,01:01,848035
3595,16162,01:01,946492
26135,66870,01:01,594687
1647,13197,01:01,877248
55970,14701,01:01,946684
79971,68151,01:01,929655
6121,19892,01:01,888708
55635,76131,01:01,934258
55631,67144,01:01,594236
9295,69207,01:01,
81573,433667,01:01,575356
1491,107869,01:01,842022
5733,19218,01:01,937571
9406,53861,01:01,596040
257194,320840,01:01,596410
HUMAN01160,75540,01:01,840900
HUMAN01164,MOUSE31938,01:01,597046
127254,209601,01:01,
1429,12972,01:01,874771
127253,209584,01:01,938161
431707,MOUSE31920,01:01,598734
204962,242259,01:01,851275
34,11364,01:01,911730
5876,19352,01:01,935725
4438,MOUSE31903,01:01,959211
127247,66772,01:01,893429
256435,20447,01:01,897492
81849,26938,01:01,897493
10026,329777,01:01,537869
26009,108946,01:01,927991
23032,170822,01:01,595333
374986,215708,01:01,937768
91624,68810,01:01,601188
HUMAN01186,MOUSE31853,01:01,
11080,67035,01:01,594197
54810,54120,01:01,920652
5737,19220,01:01,296364
10561,99899,01:01,835229
64123,170757,01:01,292365
HUMAN01195,MOUSE31827,01:01,291268
79739,70892,01:01,536134
5567,18749,01:01,595159
148418,75015,01:01,596261
58511,56629,01:01,840212
80135,70285,01:01,940803
2787,14707,01:01,281133
1486,74245,01:01,554081
117178,99167,01:01,863228
23566,65086,01:01,595488
255231,68279,01:01,901722
126820,242253,01:01,
55283,171166,01:01,901721
84144,MOUSE31782,01:01,944832
148423,66421,01:01,939567
8915,12042,01:01,898520
23576,69219,01:01,871282
3491,16007,01:01,295801
255631,71355,01:01,598701
57489,52184,01:01,595937
9635,229933,01:01,739151
1179,23844,01:01,739153
22802,99709,1:m,739152
22802,99663,1:m,
51100,54673,01:01,539073
9403,93684,01:01,589296
9653,23908,n:1,
HUMAN01232,23908,n:1,
8543,16911,01:01,600292
5586,109333,01:01,
2959,229906,01:01,593691
56267,229905,01:01,871685
2633,14468,n:m,
2633,14469,n:m,
2634,14468,n:m,
2634,14469,n:m,601444
115361,55932,01:01,602070
115362,229898,01:01,
163351,76074,1:m,601287
163351,236573,1:m,
163351,17472,1:m,
163351,MOUSE37039,1:m,
163351,626578,1:m,
