"","Gen","Ard","Arc"
"142","CACNA1E","angina","cardiovascular"
"143","CACNA2D1","angina","cardiovascular"
"144","PARVG","angina","cardiovascular"
"145","SDC2","angina","cardiovascular"
"146","F2RL2","angina","cardiovascular"
"147","TLN2","angina","cardiovascular"
"148","COL4A4","angina","cardiovascular"
"149","CACNA2D3","angina","cardiovascular"
"150","PLCD3","angina","cardiovascular"
"151","TLN1","angina","cardiovascular"
"152","CACNG1","angina","cardiovascular"
"153","COL4A6","angina","cardiovascular"
"154","BCAR1","angina","cardiovascular"
"155","LAMA4","angina","cardiovascular"
"156","PLCG1","angina","cardiovascular"
"157","CACNG8","angina","cardiovascular"
"158","ITGB7","angina","cardiovascular"
"159","LOC102723996","angina","cardiovascular"
"160","VTN","angina","cardiovascular"
"161","PTK2","angina","cardiovascular"
"162","D1183","angina","cardiovascular"
"163","XIAP","angina","cardiovascular"
"164","PLPP3","angina","cardiovascular"
"165","MFN2","angina","cardiovascular"
"166","COL2A1","angina","cardiovascular"
"167","CACNA1C","angina","cardiovascular"
"168","MIR125A","angina","cardiovascular"
"169","PIK3R2","angina","cardiovascular"
"170","MEN1","angina","cardiovascular"
"171","FYN","angina","cardiovascular"
"172","PSMC6","angina","cardiovascular"
"173","WDR5B","angina","cardiovascular"
"174","CREBBP","angina","cardiovascular"
"175","GNG3","angina","cardiovascular"
"176","KRAS","angina","cardiovascular"
"177","CRK","angina","cardiovascular"
"178","CACNG4","angina","cardiovascular"
"179","GNB5","angina","cardiovascular"
"180","CALML4","angina","cardiovascular"
"181","D1321","angina","cardiovascular"
"182","GNB4","angina","cardiovascular"
"183","CACNA1G","angina","cardiovascular"
"184","RELN","angina","cardiovascular"
"185","PLD4","angina","cardiovascular"
"186","PSMD12","angina","cardiovascular"
"187","TNN","angina","cardiovascular"
"188","CACNG3","angina","cardiovascular"
"189","BCL2","angina","cardiovascular"
"190","UBE2L6","angina","cardiovascular"
"191","RBBP5","angina","cardiovascular"
"192","F2RL1","angina","cardiovascular"
"193","PSMD7","angina","cardiovascular"
"194","DGKA","angina","cardiovascular"
"195","CALM1","angina","cardiovascular"
"196","FOXO1","angina","cardiovascular"
"197","GNG7","angina","cardiovascular"
"198","MIR30E","angina","cardiovascular"
"199","TBX21","angina","cardiovascular"
"200","GNG13","angina","cardiovascular"
"201","LAMA5","angina","cardiovascular"
"202","C3","angina","cardiovascular"
"203","TARDBP","angina","cardiovascular"
"204","FN1","angina","cardiovascular"
"205","PRKCG","angina","cardiovascular"
"206","GNB2","angina","cardiovascular"
"207","LAMB2","angina","cardiovascular"
"208","PLD1","angina","cardiovascular"
"209","MIR125B2","angina","cardiovascular"
"210","UBC","angina","cardiovascular"
"211","FOXP3","angina","cardiovascular"
"212","ASH2L","angina","cardiovascular"
"213","DGKI","angina","cardiovascular"
"214","GNG2","angina","cardiovascular"
"215","DGKG","angina","cardiovascular"
"216","IL3","angina","cardiovascular"
"217","FOSL1","angina","cardiovascular"
"218","TNC","angina","cardiovascular"
"219","D1245","angina","cardiovascular"
"220","RPS27A","angina","cardiovascular"
"221","GPAT4","angina","cardiovascular"
"222","GNG4","angina","cardiovascular"
"223","PIK3R3","angina","cardiovascular"
"224","COL9A3","angina","cardiovascular"
"225","CRKL","angina","cardiovascular"
"226","DGKQ","angina","cardiovascular"
"227","PRKCB","angina","cardiovascular"
"228","MRAS","angina","cardiovascular"
"229","CDS2","angina","cardiovascular"
"230","CACNA1I","angina","cardiovascular"
"231","DMP1","angina","cardiovascular"
"232","GPC1","angina","cardiovascular"
"233","MIR30D","angina","cardiovascular"
"234","CACNA1H","angina","cardiovascular"
"235","CDH5","angina","cardiovascular"
"236","PSMD11","angina","cardiovascular"
"237","CAV3","angina","cardiovascular"
"238","PSMA3","angina","cardiovascular"
"239","RRAS","angina","cardiovascular"
"240","PLPP2","angina","cardiovascular"
"241","HDAC1","angina","cardiovascular"
"242","MFN1","angina","cardiovascular"
"243","CALML6","angina","cardiovascular"
"244","ADRM1","angina","cardiovascular"
"245","D1156","angina","cardiovascular"
"246","HumAge","angina","cardiovascular"
"247","JUN","angina","cardiovascular"
"248","RRAS2","angina","cardiovascular"
"249","PRKCA","angina","cardiovascular"
"250","COL6A5","angina","cardiovascular"
"251","CCND2","angina","cardiovascular"
"252","PLCB1","angina","cardiovascular"
"253","SPI1","angina","cardiovascular"
"254","USP8","angina","cardiovascular"
"255","PRKACG","angina","cardiovascular"
"256","JUNB","angina","cardiovascular"
"257","ITGB4","angina","cardiovascular"
"258","FGA","angina","cardiovascular"
"259","CDS1","angina","cardiovascular"
"260","PSMC1","angina","cardiovascular"
"261","ACTN1","angina","cardiovascular"
"262","PLCG2","angina","cardiovascular"
"263","CALML5","angina","cardiovascular"
"264","PLD2","angina","cardiovascular"
"265","PSMA1","angina","cardiovascular"
"266","ICOSLG","angina","cardiovascular"
"267","D1092","angina","cardiovascular"
"268","PSMB3","angina","cardiovascular"
"269","ATG9A","angina","cardiovascular"
"270","PIK3R1","angina","cardiovascular"
"271","GPAM","angina","cardiovascular"
"272","EP300","angina","cardiovascular"
"273","COMP","angina","cardiovascular"
"274","GNGT2","angina","cardiovascular"
"275","MTOR","angina","cardiovascular"
"276","COL1A2","angina","cardiovascular"
"277","PLCE1","angina","cardiovascular"
"278","BIRC2","angina","cardiovascular"
"279","HRAS","angina","cardiovascular"
"280","PLAU","angina","cardiovascular"
"281","TNXB","angina","cardiovascular"
"282","CD63","angina","cardiovascular"
"283","NFKB1","angina","cardiovascular"
"284","PSMC5","angina","cardiovascular"
"285","SNCAIP","angina","cardiovascular"
"286","PLCB2","angina","cardiovascular"
"287","SMAD3","angina","cardiovascular"
"288","PSMD14","angina","cardiovascular"
"289","MAPK13","angina","cardiovascular"
"290","CACNG5","angina","cardiovascular"
"291","KMT2A","angina","cardiovascular"
"292","FOSB","angina","cardiovascular"
"293","COL6A3","angina","cardiovascular"
"294","FOXO3","angina","cardiovascular"
"295","ITGB8","angina","cardiovascular"
"296","COL4A1","angina","cardiovascular"
"297","CACNA1B","angina","cardiovascular"
"298","D1525","angina","cardiovascular"
"299","GNA13","angina","cardiovascular"
"300","SP1","angina","cardiovascular"
"301","EMP2","angina","cardiovascular"
"302","PSMB1","angina","cardiovascular"
"303","PARVB","angina","cardiovascular"
"304","SDC1","angina","cardiovascular"
"305","D1075","angina","cardiovascular"
"306","BID","angina","cardiovascular"
"307","LPIN3","angina","cardiovascular"
"308","PSMD3","angina","cardiovascular"
"309","CAV1","angina","cardiovascular"
"310","PSMD4","angina","cardiovascular"
"311","GNG5","angina","cardiovascular"
"312","PARD3","angina","cardiovascular"
"313","SEM1","angina","cardiovascular"
"314","D1268","angina","cardiovascular"
"315","BIRC3","angina","cardiovascular"
"316","ACTG1","angina","cardiovascular"
"317","GNGT1","angina","cardiovascular"
"318","PRKACB","angina","cardiovascular"
"319","PLPP1","angina","cardiovascular"
"320","PLD3","angina","cardiovascular"
"321","CALML3","angina","cardiovascular"
"322","CACNB3","angina","cardiovascular"
"323","LAMB4","angina","cardiovascular"
"324","KMT2D","angina","cardiovascular"
"325","ZBTB17","angina","cardiovascular"
"326","COL6A1","angina","cardiovascular"
"327","LAMA1","angina","cardiovascular"
"328","ACTN4","angina","cardiovascular"
"329","CACNA2D2","angina","cardiovascular"
"330","AGK","angina","cardiovascular"
"331","PSMA7","angina","cardiovascular"
"332","CACNA1A","angina","cardiovascular"
"333","BIRC5","angina","cardiovascular"
"334","MAOB","angina","cardiovascular"
"335","PSMB4","angina","cardiovascular"
"336","RORC","angina","cardiovascular"
"337","CSF1R","angina","cardiovascular"
"338","PSMD9","angina","cardiovascular"
"339","JUND","angina","cardiovascular"
"340","D1182","angina","cardiovascular"
"341","DGKK","angina","cardiovascular"
"342","CAV2","angina","cardiovascular"
"343","RHOT1","angina","cardiovascular"
"344","FOXO4","angina","cardiovascular"
"345","ATG9B","angina","cardiovascular"
"346","CDK6","angina","cardiovascular"
"347","COL9A2","angina","cardiovascular"
"348","PRKACA","angina","cardiovascular"
"349","CACNB4","angina","cardiovascular"
"350","F2RL3","angina","cardiovascular"
"351","SMAD4","angina","cardiovascular"
"352","CD44","angina","cardiovascular"
"353","LAMC3","angina","cardiovascular"
"354","SRC","angina","cardiovascular"
"355","PECAM1","angina","cardiovascular"
"356","PSMC4","angina","cardiovascular"
"357","DGKB","angina","cardiovascular"
"358","CD80","angina","cardiovascular"
"359","FOS","angina","cardiovascular"
"360","NRAS","angina","cardiovascular"
"361","LAMC2","angina","cardiovascular"
"362","COL6A2","angina","cardiovascular"
"363","THBS1","angina","cardiovascular"
"364","ATF4","angina","cardiovascular"
"365","D1071","angina","cardiovascular"
"366","AMBRA1","angina","cardiovascular"
"367","PLCD1","angina","cardiovascular"
"368","LAMA2","angina","cardiovascular"
"369","ACTB","angina","cardiovascular"
"370","GNG12","angina","cardiovascular"
"371","PLCB3","angina","cardiovascular"
"372","CHAD","angina","cardiovascular"
"373","MAPK12","angina","cardiovascular"
"374","D1303","angina","cardiovascular"
"375","LAMA3","angina","cardiovascular"
"376","DGKH","angina","cardiovascular"
"377","SMAD2","angina","cardiovascular"
"378","RHOA","angina","cardiovascular"
"379","COL4A3","angina","cardiovascular"
"380","ITGB3","angina","cardiovascular"
"381","LAMC1","angina","cardiovascular"
"382","COL1A1","angina","cardiovascular"
"383","CACNB1","angina","cardiovascular"
"384","FERMT3","angina","cardiovascular"
"385","SDC4","angina","cardiovascular"
"386","SYMPK","angina","cardiovascular"
"387","ITGB5","angina","cardiovascular"
"388","BAX","angina","cardiovascular"
"389","CER1","atrial fibrillation","cardiovascular"
"390","NOTUM","atrial fibrillation","cardiovascular"
"391","FZD7","atrial fibrillation","cardiovascular"
"392","D1071","atrial fibrillation","cardiovascular"
"393","FRZB","atrial fibrillation","cardiovascular"
"394","MYC","atrial fibrillation","cardiovascular"
"395","D1532","atrial fibrillation","cardiovascular"
"396","WIF1","atrial fibrillation","cardiovascular"
"397","APCDD1","atrial fibrillation","cardiovascular"
"398","SFRP4","atrial fibrillation","cardiovascular"
"399","CUL1","atrial fibrillation","cardiovascular"
"400","NCBP2L","atrial fibrillation","cardiovascular"
"401","FZD5","atrial fibrillation","cardiovascular"
"402","MVD","atrial fibrillation","cardiovascular"
"403","GLI3","atrial fibrillation","cardiovascular"
"404","SFRP2","atrial fibrillation","cardiovascular"
"405","CCNB2","atrial fibrillation","cardiovascular"
"406","DKK2","atrial fibrillation","cardiovascular"
"407","PRKCB","atrial fibrillation","cardiovascular"
"408","RBX1","atrial fibrillation","cardiovascular"
"409","FZD3","atrial fibrillation","cardiovascular"
"410","SFRP1","atrial fibrillation","cardiovascular"
"411","APCDD1L","atrial fibrillation","cardiovascular"
"412","FZD2","atrial fibrillation","cardiovascular"
"413","MAX","atrial fibrillation","cardiovascular"
"414","D1085","atrial fibrillation","cardiovascular"
"415","CDK1","atrial fibrillation","cardiovascular"
"416","D1112","atrial fibrillation","cardiovascular"
"417","FZD8","atrial fibrillation","cardiovascular"
"418","LRP6","atrial fibrillation","cardiovascular"
"419","UPF1","atrial fibrillation","cardiovascular"
"420","FZD4","atrial fibrillation","cardiovascular"
"421","PRKCG","atrial fibrillation","cardiovascular"
"422","GLI2","atrial fibrillation","cardiovascular"
"423","ACP1","atrial fibrillation","cardiovascular"
"424","SKP1","atrial fibrillation","cardiovascular"
"425","GPC3","atrial fibrillation","cardiovascular"
"426","NCBP2","atrial fibrillation","cardiovascular"
"427","PLK1","atrial fibrillation","cardiovascular"
"428","SKP2","atrial fibrillation","cardiovascular"
"429","MVK","atrial fibrillation","cardiovascular"
"430","ACP2","atrial fibrillation","cardiovascular"
"431","D1094","atrial fibrillation","cardiovascular"
"432","FZD9","atrial fibrillation","cardiovascular"
"433","HumAge","atrial fibrillation","cardiovascular"
"434","FZD1","atrial fibrillation","cardiovascular"
"435","DKK4","atrial fibrillation","cardiovascular"
"436","FZD10","atrial fibrillation","cardiovascular"
"437","D1536","atrial fibrillation","cardiovascular"
"438","SFRP5","atrial fibrillation","cardiovascular"
"439","FZD6","atrial fibrillation","cardiovascular"
"440","RFK","atrial fibrillation","cardiovascular"
"441","ModAge","atrial fibrillation","cardiovascular"
"442","PORCN","atrial fibrillation","cardiovascular"
"443","DKK1","atrial fibrillation","cardiovascular"
"444","LRP5","atrial fibrillation","cardiovascular"
"445","PRKCA","atrial fibrillation","cardiovascular"
"446","GLI1","atrial fibrillation","cardiovascular"
"447","ACP5","atrial fibrillation","cardiovascular"
"448","D1597","back pain","musculoskeletal/trauma"
"449","SEC13","back problem","musculoskeletal/trauma"
"450","SCN1B","back problem","musculoskeletal/trauma"
"451","SLC6A3","back problem","musculoskeletal/trauma"
"452","CDC25C","back problem","musculoskeletal/trauma"
"453","CACNG1","back problem","musculoskeletal/trauma"
"454","CALML3","back problem","musculoskeletal/trauma"
"455","D1320","back problem","musculoskeletal/trauma"
"456","ADCY2","back problem","musculoskeletal/trauma"
"457","CREB1","back problem","musculoskeletal/trauma"
"458","VDAC3","back problem","musculoskeletal/trauma"
"459","CREB3L1","back problem","musculoskeletal/trauma"
"460","CACNB1","back problem","musculoskeletal/trauma"
"461","CACNG2","back problem","musculoskeletal/trauma"
"462","D1351","back problem","musculoskeletal/trauma"
"463","CACNA1C","back problem","musculoskeletal/trauma"
"464","SCN7A","back problem","musculoskeletal/trauma"
"465","PDE10A","back problem","musculoskeletal/trauma"
"466","GRM1","back problem","musculoskeletal/trauma"
"467","PDE4B","back problem","musculoskeletal/trauma"
"468","CALM1","back problem","musculoskeletal/trauma"
"469","FLNA","back problem","musculoskeletal/trauma"
"470","CACNA1S","back problem","musculoskeletal/trauma"
"471","CACNG3","back problem","musculoskeletal/trauma"
"472","ADCY9","back problem","musculoskeletal/trauma"
"473","MAPK3","back problem","musculoskeletal/trauma"
"474","ADCY3","back problem","musculoskeletal/trauma"
"475","VDAC2","back problem","musculoskeletal/trauma"
"476","PDE4A","back problem","musculoskeletal/trauma"
"477","CACNA1F","back problem","musculoskeletal/trauma"
"478","FBXO43","back problem","musculoskeletal/trauma"
"479","ITPR3","back problem","musculoskeletal/trauma"
"480","ATF6B","back problem","musculoskeletal/trauma"
"481","GRIA1","back problem","musculoskeletal/trauma"
"482","CALM2","back problem","musculoskeletal/trauma"
"483","PPID","back problem","musculoskeletal/trauma"
"484","MAPT","back problem","musculoskeletal/trauma"
"485","GRIA2","back problem","musculoskeletal/trauma"
"486","SEC31B","back problem","musculoskeletal/trauma"
"487","D1595","back problem","musculoskeletal/trauma"
"488","RYR2","back problem","musculoskeletal/trauma"
"489","NOS1","back problem","musculoskeletal/trauma"
"490","CACNA2D2","back problem","musculoskeletal/trauma"
"491","PDE3A","back problem","musculoskeletal/trauma"
"492","CALM3","back problem","musculoskeletal/trauma"
"493","ADCY5","back problem","musculoskeletal/trauma"
"494","PDE3B","back problem","musculoskeletal/trauma"
"495","CACNA2D1","back problem","musculoskeletal/trauma"
"496","PDE4C","back problem","musculoskeletal/trauma"
"497","ADCY7","back problem","musculoskeletal/trauma"
"498","ADCY4","back problem","musculoskeletal/trauma"
"499","CREB3","back problem","musculoskeletal/trauma"
"500","SCN5A","back problem","musculoskeletal/trauma"
"501","SLC25A31","back problem","musculoskeletal/trauma"
"502","NOS3","back problem","musculoskeletal/trauma"
"503","PLCG2","back problem","musculoskeletal/trauma"
"504","RAP1B","back problem","musculoskeletal/trauma"
"505","ITPR1","back problem","musculoskeletal/trauma"
"506","SLC25A5","back problem","musculoskeletal/trauma"
"507","FOXO1","back problem","musculoskeletal/trauma"
"508","CACNG8","back problem","musculoskeletal/trauma"
"509","PIK3C3","back problem","musculoskeletal/trauma"
"510","PLCB1","back problem","musculoskeletal/trauma"
"511","CACNB3","back problem","musculoskeletal/trauma"
"512","ITPR2","back problem","musculoskeletal/trauma"
"513","CYBB","back problem","musculoskeletal/trauma"
"514","PLCB4","back problem","musculoskeletal/trauma"
"515","CALML6","back problem","musculoskeletal/trauma"
"516","GRM5","back problem","musculoskeletal/trauma"
"517","STAT1","back problem","musculoskeletal/trauma"
"518","PLCB2","back problem","musculoskeletal/trauma"
"519","FLNC","back problem","musculoskeletal/trauma"
"520","CREB3L4","back problem","musculoskeletal/trauma"
"521","FLNB","back problem","musculoskeletal/trauma"
"522","ATF2","back problem","musculoskeletal/trauma"
"523","MAPK1","back problem","musculoskeletal/trauma"
"524","PLCG1","back problem","musculoskeletal/trauma"
"525","CACNG5","back problem","musculoskeletal/trauma"
"526","NRAS","back problem","musculoskeletal/trauma"
"527","VDAC1","back problem","musculoskeletal/trauma"
"528","SEC31A","back problem","musculoskeletal/trauma"
"529","CALML5","back problem","musculoskeletal/trauma"
"530","CACNB4","back problem","musculoskeletal/trauma"
"531","CREBBP","back problem","musculoskeletal/trauma"
"532","CACNA1D","back problem","musculoskeletal/trauma"
"533","CACNA2D4","back problem","musculoskeletal/trauma"
"534","CACNG6","back problem","musculoskeletal/trauma"
"535","KRAS","back problem","musculoskeletal/trauma"
"536","PLCB3","back problem","musculoskeletal/trauma"
"537","TRPV1","back problem","musculoskeletal/trauma"
"538","PPP1CA","back problem","musculoskeletal/trauma"
"539","SLC25A6","back problem","musculoskeletal/trauma"
"540","HRAS","back problem","musculoskeletal/trauma"
"541","SLC25A4","back problem","musculoskeletal/trauma"
"542","CREB3L2","back problem","musculoskeletal/trauma"
"543","RIPK3","back problem","musculoskeletal/trauma"
"544","CACNB2","back problem","musculoskeletal/trauma"
"545","CREB5","back problem","musculoskeletal/trauma"
"546","CACNA2D3","back problem","musculoskeletal/trauma"
"547","PPP1CC","back problem","musculoskeletal/trauma"
"548","ADCY8","back problem","musculoskeletal/trauma"
"549","EP300","back problem","musculoskeletal/trauma"
"550","SCN4B","back problem","musculoskeletal/trauma"
"551","CACNG4","back problem","musculoskeletal/trauma"
"552","PDE4D","back problem","musculoskeletal/trauma"
"553","RAP1A","back problem","musculoskeletal/trauma"
"554","CACNG7","back problem","musculoskeletal/trauma"
"555","ADCY6","back problem","musculoskeletal/trauma"
"556","ATF1","back problem","musculoskeletal/trauma"
"557","PPP1CB","back problem","musculoskeletal/trauma"
"558","CALML4","back problem","musculoskeletal/trauma"
"559","CREB3L3","back problem","musculoskeletal/trauma"
"560","ATF4","back problem","musculoskeletal/trauma"
"561","ADCY1","back problem","musculoskeletal/trauma"
"562","D1222","bladder problem (not cancer)","renal/urology"
"563","WNT2B","bone disorder","musculoskeletal/trauma"
"564","CTSD","bone disorder","musculoskeletal/trauma"
"565","FGF6","bone disorder","musculoskeletal/trauma"
"566","PIK3CA","bone disorder","musculoskeletal/trauma"
"567","ULK2","bone disorder","musculoskeletal/trauma"
"568","RPS6KB1","bone disorder","musculoskeletal/trauma"
"569","D1251","bone disorder","musculoskeletal/trauma"
"570","KRT27","bone disorder","musculoskeletal/trauma"
"571","DKK1","bone disorder","musculoskeletal/trauma"
"572","KRT32","bone disorder","musculoskeletal/trauma"
"573","WNT9B","bone disorder","musculoskeletal/trauma"
"574","EGF","bone disorder","musculoskeletal/trauma"
"575","RARA","bone disorder","musculoskeletal/trauma"
"576","FZD3","bone disorder","musculoskeletal/trauma"
"577","BMP6","bone disorder","musculoskeletal/trauma"
"578","FGF18","bone disorder","musculoskeletal/trauma"
"579","WNT3","bone disorder","musculoskeletal/trauma"
"580","SLC8A1","bone disorder","musculoskeletal/trauma"
"581","DKK4","bone disorder","musculoskeletal/trauma"
"582","SLC8A3","bone disorder","musculoskeletal/trauma"
"583","FGF5","bone disorder","musculoskeletal/trauma"
"584","MAPK1","bone disorder","musculoskeletal/trauma"
"585","CARM1","bone disorder","musculoskeletal/trauma"
"586","FGF10","bone disorder","musculoskeletal/trauma"
"587","BMP5","bone disorder","musculoskeletal/trauma"
"588","KRT28","bone disorder","musculoskeletal/trauma"
"589","DVL3","bone disorder","musculoskeletal/trauma"
"590","FZD8","bone disorder","musculoskeletal/trauma"
"591","TUBB3","bone disorder","musculoskeletal/trauma"
"592","WNT10A","bone disorder","musculoskeletal/trauma"
"593","AKT2","bone disorder","musculoskeletal/trauma"
"594","KRT10","bone disorder","musculoskeletal/trauma"
"595","KRT23","bone disorder","musculoskeletal/trauma"
"596","GDF5","bone disorder","musculoskeletal/trauma"
"597","RASA1","bone disorder","musculoskeletal/trauma"
"598","KRT40","bone disorder","musculoskeletal/trauma"
"599","RRAGD","bone disorder","musculoskeletal/trauma"
"600","MAPK14","bone disorder","musculoskeletal/trauma"
"601","RPS6KA1","bone disorder","musculoskeletal/trauma"
"602","BMP8B","bone disorder","musculoskeletal/trauma"
"603","PIK3R1","bone disorder","musculoskeletal/trauma"
"604","IGBP1","bone disorder","musculoskeletal/trauma"
"605","PRKACB","bone disorder","musculoskeletal/trauma"
"606","CHRNA9","bone disorder","musculoskeletal/trauma"
"607","AMH","bone disorder","musculoskeletal/trauma"
"608","KRT36","bone disorder","musculoskeletal/trauma"
"609","WNT1","bone disorder","musculoskeletal/trauma"
"610","KRT25","bone disorder","musculoskeletal/trauma"
"611","KRT37","bone disorder","musculoskeletal/trauma"
"612","MAPK9","bone disorder","musculoskeletal/trauma"
"613","FGF16","bone disorder","musculoskeletal/trauma"
"614","HRAS","bone disorder","musculoskeletal/trauma"
"615","DLL4","bone disorder","musculoskeletal/trauma"
"616","PRKACA","bone disorder","musculoskeletal/trauma"
"617","PIK3R2","bone disorder","musculoskeletal/trauma"
"618","KRT20","bone disorder","musculoskeletal/trauma"
"619","MYC","bone disorder","musculoskeletal/trauma"
"620","CCND1","bone disorder","musculoskeletal/trauma"
"621","FGF7","bone disorder","musculoskeletal/trauma"
"622","CAMKMT","bone disorder","musculoskeletal/trauma"
"623","WNT3A","bone disorder","musculoskeletal/trauma"
"624","KRT18","bone disorder","musculoskeletal/trauma"
"625","KRT9","bone disorder","musculoskeletal/trauma"
"626","RRAGA","bone disorder","musculoskeletal/trauma"
"627","TFF1","bone disorder","musculoskeletal/trauma"
"628","FGF3","bone disorder","musculoskeletal/trauma"
"629","BCL2","bone disorder","musculoskeletal/trauma"
"630","ATP2B4","bone disorder","musculoskeletal/trauma"
