"","Gen","Ard","Arc"
"46","SERPIND1","anaemia","haematology/dermatology"
"47","IGFBP3","anaemia","haematology/dermatology"
"48","PODXL","anaemia","haematology/dermatology"
"49","MYOM3","anaemia","haematology/dermatology"
"50","CYP24A1","anaemia","haematology/dermatology"
"51","TBX2","anaemia","haematology/dermatology"
"52","MEG9","anaemia","haematology/dermatology"
"53","RNU6-1076P","anaemia","haematology/dermatology"
"54","MAGEA10","anaemia","haematology/dermatology"
"55","IGFBP1","anaemia","haematology/dermatology"
"56","FKBP10","anaemia","haematology/dermatology"
"57","SLC35C2P1","anaemia","haematology/dermatology"
"58","FGG","anaemia","haematology/dermatology"
"59","SLC45A2","anaemia","haematology/dermatology"
"60","SULT2A1","anaemia","haematology/dermatology"
"61","PPIAP87","anaemia","haematology/dermatology"
"62","LINC01076","anaemia","haematology/dermatology"
"63","ITIH2","anaemia","haematology/dermatology"
"64","NR1H4","anaemia","haematology/dermatology"
"65","TBX3","anaemia","haematology/dermatology"
"66","TUBAP9","anaemia","haematology/dermatology"
"67","HOXB13","anaemia","haematology/dermatology"
"68","CA9","anaemia","haematology/dermatology"
"69","KRT19","anaemia","haematology/dermatology"
"70","WNK4","anaemia","haematology/dermatology"
"71","STC2","anaemia","haematology/dermatology"
"72","LRRC15","anaemia","haematology/dermatology"
"73","TYR","anaemia","haematology/dermatology"
"74","LINC01443","anaemia","haematology/dermatology"
"75","DHRS2","anaemia","haematology/dermatology"
"76","APOB","anaemia","haematology/dermatology"
"77","UGT2B10","anaemia","haematology/dermatology"
"78","RPL7AP65","anaemia","haematology/dermatology"
"79","SERPINE2","anaemia","haematology/dermatology"
"80","IGFBP4","anaemia","haematology/dermatology"
"81","HNF4A","anaemia","haematology/dermatology"
"82","SYDE1","anaemia","haematology/dermatology"
"83","GDF6","anaemia","haematology/dermatology"
"84","ITIH3","anaemia","haematology/dermatology"
"85","GDF5","anaemia","haematology/dermatology"
"86","FGB","anaemia","haematology/dermatology"
"87","VPS26BP1","anaemia","haematology/dermatology"
"88","PAH","anaemia","haematology/dermatology"
"89","MUC5B","anaemia","haematology/dermatology"
"90","G6PC1","anaemia","haematology/dermatology"
"91","SERPINA7","anaemia","haematology/dermatology"
"92","AHSG","anaemia","haematology/dermatology"
"93","SLC2A2","anaemia","haematology/dermatology"
"94","FGFR4","anaemia","haematology/dermatology"
"95","CHGA","angina","cardiovascular"
"96","RAB3A","angina","cardiovascular"
"97","SRCIN1","angina","cardiovascular"
"98","ASTN1","angina","cardiovascular"
"99","PCDHGA2","angina","cardiovascular"
"100","JPH3","angina","cardiovascular"
"101","CDH23-AS1","angina","cardiovascular"
"102","KRTAP5-AS1","angina","cardiovascular"
"103","ZIC4-AS1","angina","cardiovascular"
"104","KIAA1755","angina","cardiovascular"
"105","PPBP","angina","cardiovascular"
"106","LINC02549","angina","cardiovascular"
"107","PCDHGA4","angina","cardiovascular"
"108","RPL35AP7","angina","cardiovascular"
"109","CNTNAP1","angina","cardiovascular"
"110","RIMS4","angina","cardiovascular"
"111","CAMK2N2","angina","cardiovascular"
"112","GDF1","angina","cardiovascular"
"113","SLC30A3","angina","cardiovascular"
"114","EFHD1","angina","cardiovascular"
"115","YBX1P1","angina","cardiovascular"
"116","DPP6","angina","cardiovascular"
"117","UNC5A","angina","cardiovascular"
"118","ASPA","angina","cardiovascular"
"119","ARHGAP6","angina","cardiovascular"
"120","ZNF385B","angina","cardiovascular"
"121","KIAA1549L","angina","cardiovascular"
"122","TLE2","angina","cardiovascular"
"123","ERMN","angina","cardiovascular"
"124","DRAXINP1","angina","cardiovascular"
"125","RPS24P8","angina","cardiovascular"
"126","SEPTIN4","angina","cardiovascular"
"127","CELF4","angina","cardiovascular"
"128","ENTREP2","angina","cardiovascular"
"129","BSN","angina","cardiovascular"
"130","PLEKHB1","angina","cardiovascular"
"131","ANKRD34C","angina","cardiovascular"
"132","EXTL1","angina","cardiovascular"
"133","TMC2","angina","cardiovascular"
"134","ZNF488","angina","cardiovascular"
"135","LINC01657","angina","cardiovascular"
"136","SLC39A12","angina","cardiovascular"
"137","CNTNAP4","angina","cardiovascular"
"138","PRKCZ","angina","cardiovascular"
"139","UGT8","angina","cardiovascular"
"140","SVOP","angina","cardiovascular"
"141","GRM1","angina","cardiovascular"
"142","ARHGEF4","angina","cardiovascular"
"143","SLC22A17","angina","cardiovascular"
"144","ACTN2","angina","cardiovascular"
"145","CACNG7","angina","cardiovascular"
"146","HS3ST2","angina","cardiovascular"
"147","THY1","angina","cardiovascular"
"148","D1071","angina","cardiovascular"
"149","NPM1P49","angina","cardiovascular"
"150","GABRA1","angina","cardiovascular"
"151","KCNS1","angina","cardiovascular"
"152","CHRNA2","angina","cardiovascular"
"153","TXNP2","angina","cardiovascular"
"154","NGEF","angina","cardiovascular"
"155","DBNDD2","angina","cardiovascular"
"156","DYNC1I1","angina","cardiovascular"
"157","AQP7","angina","cardiovascular"
"158","GAD2","angina","cardiovascular"
"159","TMEM145","angina","cardiovascular"
"160","PHYHIP","angina","cardiovascular"
"161","SYT1","angina","cardiovascular"
"162","USF1P1","angina","cardiovascular"
"163","MTCL1","angina","cardiovascular"
"164","ATP1A2","angina","cardiovascular"
"165","NEFL","angina","cardiovascular"
"166","STX1B","angina","cardiovascular"
"167","SOX8","angina","cardiovascular"
"168","MAGEA7P","angina","cardiovascular"
"169","CALY","angina","cardiovascular"
"170","LHX1-DT","angina","cardiovascular"
"171","WFIKKN2","angina","cardiovascular"
"172","MIR1305","angina","cardiovascular"
"173","CDK5R2","angina","cardiovascular"
"174","PEX5L","angina","cardiovascular"
"175","MYLK-AS2","angina","cardiovascular"
"176","APC2","angina","cardiovascular"
"177","ASPHD1","angina","cardiovascular"
"178","TRHDE-AS1","angina","cardiovascular"
"179","TTBK1","angina","cardiovascular"
"180","TLCD3B","angina","cardiovascular"
"181","LINC00370","angina","cardiovascular"
"182","LRRTM1","angina","cardiovascular"
"183","PNMA2","angina","cardiovascular"
"184","CDH22","angina","cardiovascular"
"185","RIMS3","angina","cardiovascular"
"186","NEFH","angina","cardiovascular"
"187","ANO3","angina","cardiovascular"
"188","MAPRE3","angina","cardiovascular"
"189","SLC6A11","angina","cardiovascular"
"190","STXBP1","angina","cardiovascular"
"191","KCNC1","angina","cardiovascular"
"192","LRRC32","angina","cardiovascular"
"193","KCNB1","angina","cardiovascular"
"194","PTPN5","angina","cardiovascular"
"195","PSD2","angina","cardiovascular"
"196","HAPLN2","angina","cardiovascular"
"197","PREPL","angina","cardiovascular"
"198","MCHR2","angina","cardiovascular"
"199","CRHR1","angina","cardiovascular"
"200","CAMK2N1","angina","cardiovascular"
"201","RAPGEF4","angina","cardiovascular"
"202","TTR","angina","cardiovascular"
"203","JPH4","angina","cardiovascular"
"204","TMEM179","angina","cardiovascular"
"205","RNY3P8","angina","cardiovascular"
"206","FHL5","angina","cardiovascular"
"207","HSPA12A-AS1","angina","cardiovascular"
"208","KCNIP2","angina","cardiovascular"
"209","TPPP","angina","cardiovascular"
"210","SYN2","angina","cardiovascular"
"211","BTF3P13","angina","cardiovascular"
"212","RAPGEF5","angina","cardiovascular"
"213","PRRT2","angina","cardiovascular"
"214","TREML1","angina","cardiovascular"
"215","CPNE5","angina","cardiovascular"
"216","CADM3","angina","cardiovascular"
"217","TCTE1","angina","cardiovascular"
"218","KCNQ2","angina","cardiovascular"
"219","MIR1260A","angina","cardiovascular"
"220","DNM1","angina","cardiovascular"
"221","HHATL","angina","cardiovascular"
"222","PRKCG","angina","cardiovascular"
"223","KCNK9","angina","cardiovascular"
"224","HABP4","angina","cardiovascular"
"225","CHN1","angina","cardiovascular"
"226","SFR1P2","angina","cardiovascular"
"227","DAO","angina","cardiovascular"
"228","KCND3","angina","cardiovascular"
"229","CACNG8","angina","cardiovascular"
"230","GLRB","angina","cardiovascular"
"231","D1091","angina","cardiovascular"
"232","PPP1R1B","angina","cardiovascular"
"233","BCAS1","angina","cardiovascular"
"234","EIF4E1B","angina","cardiovascular"
"235","LINC02694","angina","cardiovascular"
"236","TMEM59L","angina","cardiovascular"
"237","D1092","angina","cardiovascular"
"238","SCD5","angina","cardiovascular"
"239","HCN1","angina","cardiovascular"
"240","EPB41L1","angina","cardiovascular"
"241","LINC01706","angina","cardiovascular"
"242","DAB2IP","angina","cardiovascular"
"243","SLC3A1","angina","cardiovascular"
"244","IP6K3","angina","cardiovascular"
"245","SPARCL1","angina","cardiovascular"
"246","BRSK1","angina","cardiovascular"
"247","CSPG5","angina","cardiovascular"
"248","OMG","angina","cardiovascular"
"249","CELF5","angina","cardiovascular"
"250","GABBR2","angina","cardiovascular"
"251","FADS6","angina","cardiovascular"
"252","ERCC1","angina","cardiovascular"
"253","LINC00844","angina","cardiovascular"
"254","PVALB","angina","cardiovascular"
"255","TUBB1","angina","cardiovascular"
"256","FDPSP1","angina","cardiovascular"
"257","FRRS1L","angina","cardiovascular"
"258","ADRA1B","angina","cardiovascular"
"259","PHF24","angina","cardiovascular"
"260","CNDP1","angina","cardiovascular"
"261","CHRM1","angina","cardiovascular"
"262","ZNF816-ZNF321P","angina","cardiovascular"
"263","SYNDIG1","angina","cardiovascular"
"264","LMTK3","angina","cardiovascular"
"265","SMYD3-AS1","angina","cardiovascular"
"266","SERP2","angina","cardiovascular"
"267","CACNA1B","angina","cardiovascular"
"268","PCDHGA3","angina","cardiovascular"
"269","SOHLH1","angina","cardiovascular"
"270","FXYD1","angina","cardiovascular"
"271","IL10RB-DT","angina","cardiovascular"
"272","CHRNB2","angina","cardiovascular"
"273","ZNF567-DT","angina","cardiovascular"
"274","PCDHGA9","angina","cardiovascular"
"275","ELFN2","angina","cardiovascular"
"276","LINC02679","angina","cardiovascular"
"277","CA10","angina","cardiovascular"
"278","SYT13","angina","cardiovascular"
"279","RN7SKP58","angina","cardiovascular"
"280","OLFM1","angina","cardiovascular"
"281","LINC01750","angina","cardiovascular"
"282","TMEM266","angina","cardiovascular"
"283","ZIC4","angina","cardiovascular"
"284","CABP5","angina","cardiovascular"
"285","MAP3K9","angina","cardiovascular"
"286","SNAP25","angina","cardiovascular"
"287","MEGF11","angina","cardiovascular"
"288","LNCBRM","angina","cardiovascular"
"289","LINC02661","angina","cardiovascular"
"290","RN7SKP182","angina","cardiovascular"
"291","DKK3","angina","cardiovascular"
"292","FGF1","angina","cardiovascular"
"293","ZNF709","angina","cardiovascular"
"294","NPTX1","angina","cardiovascular"
"295","USP17L3","angina","cardiovascular"
"296","LINC01763","angina","cardiovascular"
"297","GALNT13","angina","cardiovascular"
"298","SLC45A1","angina","cardiovascular"
"299","MMD2","angina","cardiovascular"
"300","CAMK1G","angina","cardiovascular"
"301","WSCD2","angina","cardiovascular"
"302","SCN2B","angina","cardiovascular"
"303","FRMPD3","angina","cardiovascular"
"304","CADM2","angina","cardiovascular"
"305","MIR548O","angina","cardiovascular"
"306","CPE","angina","cardiovascular"
"307","SLCO1A2","angina","cardiovascular"
"308","GPRC5B","angina","cardiovascular"
"309","BRINP1","angina","cardiovascular"
"310","LINGO1","angina","cardiovascular"
"311","CABP1","angina","cardiovascular"
"312","ADCY5","angina","cardiovascular"
"313","JAKMIP3-AS1","angina","cardiovascular"
"314","SGSM1","angina","cardiovascular"
"315","HR","angina","cardiovascular"
"316","CDH15","angina","cardiovascular"
"317","ATCAY","angina","cardiovascular"
"318","NOVA1","angina","cardiovascular"
"319","RPS12P5","angina","cardiovascular"
"320","LINC02813","angina","cardiovascular"
"321","PTPRN","angina","cardiovascular"
"322","AVPR1B-DT","angina","cardiovascular"
"323","D1182","angina","cardiovascular"
"324","LY6G6D","angina","cardiovascular"
"325","CELF3","angina","cardiovascular"
"326","CACNG3","angina","cardiovascular"
"327","SORCS3","angina","cardiovascular"
"328","LINC01532","angina","cardiovascular"
"329","NSG1","angina","cardiovascular"
"330","SLC8A2","angina","cardiovascular"
"331","CHRD","angina","cardiovascular"
"332","SLC20A1P1","angina","cardiovascular"
"333","MRO","angina","cardiovascular"
"334","PRUNE2","angina","cardiovascular"
"335","ADGRA1-AS1","angina","cardiovascular"
"336","COBL","angina","cardiovascular"
"337","D1183","angina","cardiovascular"
"338","GPM6A","angina","cardiovascular"
"339","OTUD7A","angina","cardiovascular"
"340","PSMA1P1","angina","cardiovascular"
"341","SYP","angina","cardiovascular"
"342","HRH3","angina","cardiovascular"
"343","NMNAT2","angina","cardiovascular"
"344","CHGB","angina","cardiovascular"
"345","PCDHGC4","angina","cardiovascular"
"346","GABRA6","angina","cardiovascular"
"347","CACNA1G","angina","cardiovascular"
"348","SELP","angina","cardiovascular"
"349","CARTPT","angina","cardiovascular"
"350","CPNE6","angina","cardiovascular"
"351","CCNT2-AS1","angina","cardiovascular"
"352","D1525","angina","cardiovascular"
"353","ARNT2","angina","cardiovascular"
"354","HSPA12A","angina","cardiovascular"
"355","GRM4","angina","cardiovascular"
"356","KIF5A","angina","cardiovascular"
"357","APBB1","angina","cardiovascular"
"358","RAB26","angina","cardiovascular"
"359","SLC9A3P3","angina","cardiovascular"
"360","GOLGA7B","angina","cardiovascular"
"361","KCNA1","angina","cardiovascular"
"362","NEFM","angina","cardiovascular"
"363","CELSR1P1","angina","cardiovascular"
"364","KCNAB1","angina","cardiovascular"
"365","RNF112","angina","cardiovascular"
"366","TYRO3","angina","cardiovascular"
"367","RGS8","angina","cardiovascular"
"368","ASIC2","angina","cardiovascular"
"369","CTNND2","angina","cardiovascular"
"370","MFSD4A","angina","cardiovascular"
"371","RNF157","angina","cardiovascular"
"372","BARHL2","angina","cardiovascular"
"373","CHROMR","angina","cardiovascular"
"374","SLC4A10","angina","cardiovascular"
"375","KRT18P36","angina","cardiovascular"
"376","RPS28P8","angina","cardiovascular"
"377","POLR1G","angina","cardiovascular"
"378","SNPH","angina","cardiovascular"
"379","HPCA","angina","cardiovascular"
"380","RNU7-186P","angina","cardiovascular"
"381","MICU3","angina","cardiovascular"
"382","RNA5SP487","angina","cardiovascular"
"383","SH3GL3","angina","cardiovascular"
"384","CCDC92B","angina","cardiovascular"
"385","TUBB4A","angina","cardiovascular"
"386","GRM5-AS1","angina","cardiovascular"
"387","DRP2","angina","cardiovascular"
"388","SLC6A1","angina","cardiovascular"
"389","SPTBN4","angina","cardiovascular"
"390","CRYM","angina","cardiovascular"
"391","IGSF21","angina","cardiovascular"
"392","CHD5","angina","cardiovascular"
"393","D1112","angina","cardiovascular"
"394","DDX11L16","angina","cardiovascular"
"395","VSNL1","angina","cardiovascular"
"396","RBFOX1","angina","cardiovascular"
"397","PCDHGA5","angina","cardiovascular"
"398","RASD2","angina","cardiovascular"
"399","ZP2","angina","cardiovascular"
"400","SYT7","angina","cardiovascular"
"401","UNC13A","angina","cardiovascular"
"402","ADGRB2","angina","cardiovascular"
"403","MAST1","angina","cardiovascular"
"404","HSPA2","angina","cardiovascular"
"405","INA","angina","cardiovascular"
"406","CBLN4","angina","cardiovascular"
"407","CHRNA4","angina","cardiovascular"
"408","C1orf115","angina","cardiovascular"
"409","LGI3","angina","cardiovascular"
"410","PLCH2","angina","cardiovascular"
"411","B4GALNT1","angina","cardiovascular"
"412","TMEM178A","angina","cardiovascular"
"413","FA2H","angina","cardiovascular"
"414","SCRT1","angina","cardiovascular"
"415","RNPC3-DT","angina","cardiovascular"
"416","KCNJ9","angina","cardiovascular"
"417","PPP2R2C","angina","cardiovascular"
"418","KNDC1","angina","cardiovascular"
"419","CPNE9","angina","cardiovascular"
"420","FAM131C2P","angina","cardiovascular"
"421","GP9","angina","cardiovascular"
"422","PACSIN1","angina","cardiovascular"
"423","LINC00381","angina","cardiovascular"
"424","SLC26A4-AS1","angina","cardiovascular"
"425","SNRPEP5","angina","cardiovascular"
"426","CLDN11","angina","cardiovascular"
"427","RGS11","angina","cardiovascular"
"428","AIDAP1","angina","cardiovascular"
"429","ADORA1","angina","cardiovascular"
"430","PTPRT-DT","angina","cardiovascular"
"431","LGALSL","angina","cardiovascular"
"432","NALF1-IT1","angina","cardiovascular"
"433","RIT2","angina","cardiovascular"
"434","AMPH","angina","cardiovascular"
"435","ATP2B3","angina","cardiovascular"
"436","KLHL25P1","angina","cardiovascular"
"437","DLGAP1","angina","cardiovascular"
"438","MAPT-AS1","angina","cardiovascular"
"439","BRSK2","angina","cardiovascular"
"440","B3GAT1","angina","cardiovascular"
"441","OFD1P13Y","angina","cardiovascular"
"442","D1303","angina","cardiovascular"
"443","NTSR2","angina","cardiovascular"
"444","SNCB","angina","cardiovascular"
"445","D1082","angina","cardiovascular"
"446","SH3GL2","angina","cardiovascular"
"447","SYN1","angina","cardiovascular"
"448","FAM107A","angina","cardiovascular"
"449","SYT2","angina","cardiovascular"
"450","LHFPL4","angina","cardiovascular"
"451","MAPK4","angina","cardiovascular"
"452","GPR37","angina","cardiovascular"
"453","CYP26B1","angina","cardiovascular"
"454","CKMT1B","angina","cardiovascular"
"455","FNDC4","angina","cardiovascular"
"456","NDRG2","angina","cardiovascular"
"457","TTC9B","angina","cardiovascular"
"458","MDN1-AS1","angina","cardiovascular"
"459","CAMK2A","angina","cardiovascular"
"460","F2RL3","angina","cardiovascular"
"461","NRXN3","angina","cardiovascular"
"462","GALNT16","angina","cardiovascular"
"463","PCDHGB1","angina","cardiovascular"
"464","ITIH5","angina","cardiovascular"
"465","KCNJ4","angina","cardiovascular"
"466","RPL12P14","angina","cardiovascular"
"467","MORF4L1P4","angina","cardiovascular"
"468","CRTAM","angina","cardiovascular"
"469","SNAP91","angina","cardiovascular"
"470","GPR158","angina","cardiovascular"
"471","NECAB2","angina","cardiovascular"
"472","PPFIA4","angina","cardiovascular"
"473","GABRB2","angina","cardiovascular"
"474","D1536","angina","cardiovascular"
"475","ATP1B1","angina","cardiovascular"
"476","NDRG4","angina","cardiovascular"
"477","SNCG","angina","cardiovascular"
"478","FAM13C","angina","cardiovascular"
"479","DHFRP6","angina","cardiovascular"
"480","KCNF1","angina","cardiovascular"
"481","CD226","angina","cardiovascular"
"482","NRSN1","angina","cardiovascular"
"483","PLEKHG5","angina","cardiovascular"
"484","ENO2","angina","cardiovascular"
"485","XKR7","angina","cardiovascular"
"486","HTR5A","angina","cardiovascular"
"487","SLC32A1","angina","cardiovascular"
"488","LARP6","angina","cardiovascular"
"489","D1075","angina","cardiovascular"
"490","HIPK4","angina","cardiovascular"
"491","LHX1","angina","cardiovascular"
"492","ModAge","angina","cardiovascular"
"493","DTNA","angina","cardiovascular"
"494","TSPAN7","angina","cardiovascular"
"495","SYNPR","angina","cardiovascular"
"496","SCN1B","angina","cardiovascular"
"497","CA11","angina","cardiovascular"
"498","SLC6A7","angina","cardiovascular"
"499","LMAN1L","angina","cardiovascular"
"500","KCNJ3","angina","cardiovascular"
"501","MIR1288","angina","cardiovascular"
"502","HAP1","angina","cardiovascular"
"503","CICP17","angina","cardiovascular"
"504","RGN","angina","cardiovascular"
"505","CPLX1","angina","cardiovascular"
"506","BCAS2P3","angina","cardiovascular"
"507","ELMOD1","angina","cardiovascular"
"508","PART1","angina","cardiovascular"
"509","HPSE","angina","cardiovascular"
"510","LINC03053","angina","cardiovascular"
"511","SUSD4","angina","cardiovascular"
"512","GNAO1","angina","cardiovascular"
"513","SYBU","angina","cardiovascular"
"514","RCAN2","angina","cardiovascular"
"515","SERPINI1","angina","cardiovascular"
"516","PSD","angina","cardiovascular"
"517","PLP1","angina","cardiovascular"
"518","ZNF365","angina","cardiovascular"
"519","ZNF32-AS1","angina","cardiovascular"
"520","ARHGEF25","angina","cardiovascular"
"521","NCS1","angina","cardiovascular"
"522","SFTPC","angina","cardiovascular"
"523","D1321","angina","cardiovascular"
"524","LINC00507","angina","cardiovascular"
"525","CNN2P1","angina","cardiovascular"
"526","CEDORA","angina","cardiovascular"
"527","SMIM43","angina","cardiovascular"
"528","GALNT9-AS1","angina","cardiovascular"
"529","HPCAL4","angina","cardiovascular"
"530","TEF","angina","cardiovascular"
"531","CASQ2","angina","cardiovascular"
"532","LRRC4B","angina","cardiovascular"
"533","PRIMA1","angina","cardiovascular"
"534","FNDC5","angina","cardiovascular"
"535","CACNA1I","angina","cardiovascular"
"536","DGCR5","angina","cardiovascular"
"537","ABCG4","angina","cardiovascular"
"538","TTYH1","angina","cardiovascular"
"539","KCNC2","angina","cardiovascular"
"540","ABLIM2","angina","cardiovascular"
"541","HSPB2","angina","cardiovascular"
"542","ZIC1","angina","cardiovascular"
"543","CHST1","angina","cardiovascular"
"544","LZTS3","angina","cardiovascular"
"545","REEP2","angina","cardiovascular"
"546","D1156","angina","cardiovascular"
"547","ANKRD34A","angina","cardiovascular"
"548","KIF1A","angina","cardiovascular"
"549","FMN2","angina","cardiovascular"
"550","PLEKHH1","angina","cardiovascular"
"551","GNG13","angina","cardiovascular"
"552","GRIN2C","angina","cardiovascular"
"553","MPP2","angina","cardiovascular"
"554","CTNNA2","angina","cardiovascular"
"555","KCNK3","angina","cardiovascular"
"556","GPR37L1","angina","cardiovascular"
"557","SYP-AS1","angina","cardiovascular"
"558","ATP6V0E2","angina","cardiovascular"
"559","KIF5C","angina","cardiovascular"
"560","D1245","angina","cardiovascular"
"561","SEPTIN3","angina","cardiovascular"
"562","SPOCK1","angina","cardiovascular"
"563","CACNA1A","angina","cardiovascular"
"564","ALDOC","angina","cardiovascular"
"565","OR4E2","angina","cardiovascular"
"566","MCF2L","angina","cardiovascular"
"567","SLC17A7","angina","cardiovascular"
"568","RPH3A","angina","cardiovascular"
"569","NGB","angina","cardiovascular"
"570","SLC1A6","angina","cardiovascular"
"571","RFKP5","angina","cardiovascular"
"572","GPIHBP1","angina","cardiovascular"
"573","TOMM20P1","angina","cardiovascular"
"574","LY6G6F-LY6G6D","angina","cardiovascular"
"575","DUSP26","angina","cardiovascular"
"576","LGI4","angina","cardiovascular"
"577","FAT2","angina","cardiovascular"
"578","B4GAT1","angina","cardiovascular"
"579","NYAP1","angina","cardiovascular"
"580","SCN3B","angina","cardiovascular"
"581","KCNT1","angina","cardiovascular"
"582","STAC2","angina","cardiovascular"
"583","ASTN2","angina","cardiovascular"
"584","PF4V1","angina","cardiovascular"
"585","CYCSP12","angina","cardiovascular"
"586","PHLDB1","angina","cardiovascular"
"587","TIAM1","angina","cardiovascular"
"588","SYT5","angina","cardiovascular"
"589","RGS4","angina","cardiovascular"
"590","WASF3","angina","cardiovascular"
"591","ZKSCAN8P1","angina","cardiovascular"
"592","GALNT15","angina","cardiovascular"
"593","SYNGR3","angina","cardiovascular"
"594","APLNR","angina","cardiovascular"
"595","MUC20P1","angina","cardiovascular"
"596","VSTM2A","angina","cardiovascular"
"597","SLC7A4","angina","cardiovascular"
"598","DIRAS2","angina","cardiovascular"
"599","LY6G6E","angina","cardiovascular"
"600","CLCA4","angina","cardiovascular"
"601","AP3B2","angina","cardiovascular"
"602","FAM236D","angina","cardiovascular"
"603","NALCN-AS1","angina","cardiovascular"
"604","NACAD","angina","cardiovascular"
"605","ATP1A3","angina","cardiovascular"
"606","ADAM11","angina","cardiovascular"
"607","C16orf89","angina","cardiovascular"
"608","RBFOX3","angina","cardiovascular"
"609","IL17D","angina","cardiovascular"
"610","RTN1","angina","cardiovascular"
"611","ITGB3","angina","cardiovascular"
"612","MAPK8IP1","angina","cardiovascular"
"613","ATP2B2","angina","cardiovascular"
"614","CARNS1","angina","cardiovascular"
"615","HSPB8","angina","cardiovascular"
"616","SNORD57","angina","cardiovascular"
"617","PABPC1L2B-AS1","angina","cardiovascular"
"618","RNU6-1217P","angina","cardiovascular"
"619","CAMK2B","angina","cardiovascular"
"620","TNR","angina","cardiovascular"
"621","EML4-AS1","angina","cardiovascular"
"622","CADM4","angina","cardiovascular"
"623","OLFM2","angina","cardiovascular"
"624","MTND4P32","angina","cardiovascular"
"625","SRRM4","angina","cardiovascular"
"626","NAPB","angina","cardiovascular"
"627","MYRIP","angina","cardiovascular"
"628","SLC5A11","angina","cardiovascular"
"629","PSME2P6","angina","cardiovascular"
"630","FBXL16","angina","cardiovascular"
"631","CCKBR","angina","cardiovascular"
"632","FAIM2","angina","cardiovascular"
"633","LMOD1","angina","cardiovascular"
"634","KIRREL3","angina","cardiovascular"
"635","LINC01544","angina","cardiovascular"
"636","APLP1","angina","cardiovascular"
"637","TMEM130","angina","cardiovascular"
"638","PDZD4","angina","cardiovascular"
"639","CACNG2","angina","cardiovascular"
"640","GP6","angina","cardiovascular"
"641","ATP1B2","angina","cardiovascular"
"642","TAGLN3","angina","cardiovascular"
"643","MAPK8IP2","angina","cardiovascular"
"644","PCP4L1","angina","cardiovascular"
"645","GFAP","angina","cardiovascular"
"646","CBLN3","angina","cardiovascular"
"647","GABRG2","angina","cardiovascular"
"648","PPP1R26-AS1","angina","cardiovascular"
"649","MIR124-1HG","angina","cardiovascular"
"650","SYT12","angina","cardiovascular"
"651","CNTFR","angina","cardiovascular"
"652","RNU2-59P","angina","cardiovascular"
"653","PCSK2","angina","cardiovascular"
"654","KIF3C","angina","cardiovascular"
"655","CPTP","angina","cardiovascular"
"656","PIANP","angina","cardiovascular"
"657","SULT4A1","angina","cardiovascular"
"658","HCN2","angina","cardiovascular"
"659","MOBP","angina","cardiovascular"
"660","OR9R1P","angina","cardiovascular"
"661","KCNV1","angina","cardiovascular"
"662","LDB3","angina","cardiovascular"
"663","MAG","angina","cardiovascular"
"664","LINC02284","angina","cardiovascular"
"665","NSG2","angina","cardiovascular"
"666","ABCC8","angina","cardiovascular"
"667","SCG3","angina","cardiovascular"
"668","CREG2","angina","cardiovascular"
"669","THY1-AS1","angina","cardiovascular"
"670","NEUROD2","angina","cardiovascular"
"671","HumAge","angina","cardiovascular"
"672","CRTAC1","angina","cardiovascular"
