"Phenotype","Score","color_group","Label"
"endocrine/diabetes",0.1752366,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"immunological/systemic disorders",0.1752366,"immunological/systemic disorders","Tissue specificity in genes associated with ARCs and GenAge"
"neurology/eye/psychiatry",0.1752366,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.200504995,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.200504995,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"renal/urology",0.406531006,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.406531006,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.115708818,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.296607892,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.222406877,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.239597057,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.806144505,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.38187401,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.581209966,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.165015728,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.165015728,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.232325209,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.148867933,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.226470689,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.246410843,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.793481952,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.227375159,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.182129608,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.591101297,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.228878817,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.098699446,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.102402398,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.192005969,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.413761314,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.293248585,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.400619588,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.457268641,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.457268641,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.34861527,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.428989384,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.428989384,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.953924755,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.259136431,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.315439918,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.999275431,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.904785389,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.608282077,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.259586489,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"neurology/eye/psychiatry",0.326459737,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.216582076,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.808555982,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.445559588,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.863094127,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.236002276,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.933634259,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.176566819,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.218458651,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.426556544,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.192803911,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.31731184,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.438264591,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.419381988,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.195323336,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.960538394,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.499012026,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.499012026,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.187188459,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.187188459,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.343446353,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.456408357,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.456408357,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.230942688,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.230942688,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.31326233,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.31326233,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.130961774,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.112179811,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.466145287,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.711532476,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.911503343,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.447704913,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.51798242,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.366230695,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.997087061,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.986635601,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.798266708,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.112741796,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.112741796,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.304565358,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.304565358,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.177415633,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.346290605,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.210361347,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.630786133,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.534201737,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.422917138,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.273308572,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.273308572,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.273308572,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.273308572,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.470710775,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"neurology/eye/psychiatry",0.173101888,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.499947768,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.465374065,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.25647543,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.944337594,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.157622682,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.190875199,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.360877525,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.195403928,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.182106912,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.54480508,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.970950359,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.189111014,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.320175539,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.530272468,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.530272468,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.119907662,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.119907662,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.338291253,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.888642968,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.924918022,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"neurology/eye/psychiatry",0.332005827,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.332005827,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.475979754,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",1,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.99817707,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.151058067,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.285468174,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.555811261,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.555811261,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.333584322,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.181709123,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.865694818,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.155021387,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.151781425,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.334474919,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.274382598,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.274382598,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.505750799,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.18470722,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.125529514,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.125529514,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.100578056,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.169295765,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.858488414,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.858488414,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.849634736,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.849634736,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.963335511,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.963335511,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.993938376,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.993938376,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.953793741,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.742071438,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.913110165,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.936384426,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.936384426,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.936384426,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.997779721,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.38055182,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.38055182,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.999589119,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.148009984,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.148009984,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.142165226,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.194526697,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.581206908,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.247061237,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.795372389,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.071937728,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.186338285,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.231117218,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.184322147,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.184322147,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.184322147,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.407149248,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.368794108,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.555894942,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",1,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.095747382,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.409680185,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.786139543,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"neurology/eye/psychiatry",0.175174048,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.282604061,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.175372717,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.268749072,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.15977228,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.14075264,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.132335706,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.179903131,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.321464735,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.465510317,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.477083972,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.233908582,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",1,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.293546184,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.682696445,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.152156792,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.172553526,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.154771437,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.617660106,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.16325793,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.216172531,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.395700721,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.173826777,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.190771123,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.279884566,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.192778636,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.139453175,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.225479752,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.343483214,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.343483214,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.176103379,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.24438114,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.24438114,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.250537546,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.105573389,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.305487617,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.328642593,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.168476197,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.211598807,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.531566581,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.276746644,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"haematology/dermatology",0.276746644,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.903328596,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.386513851,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.429032452,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.182156996,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.674477736,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.993521476,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.132676916,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.126928119,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.141812102,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.124140458,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"renal/urology",0.127139911,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.091338801,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.125332392,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.225112565,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.234737614,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.94871405,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.173926419,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.658269449,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.98969541,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.787248762,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.20693746,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.180316454,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.429589031,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.63727693,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.405809624,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.291896152,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.291896152,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.800154815,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.165579229,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.198534189,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.198534189,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.972347087,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.972347087,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",1,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.401911702,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.124729651,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.104098537,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.275075064,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",1,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.330881986,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.428552349,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.428552349,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.120744784,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.257553869,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"musculoskeletal/trauma",0.257553869,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.111577575,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.233882276,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.233882276,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.14167286,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.193424998,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.120205314,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.516896348,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.631263276,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
